Date,Discharge
01-01-2024,731.71533
02-01-2024,706.45013
03-01-2024,685.54047
04-01-2024,664.6898
05-01-2024,648.05743
06-01-2024,626.8259
07-01-2024,607.47363
08-01-2024,587.46423
09-01-2024,571.3501
10-01-2024,560.03503
11-01-2024,549.1157
12-01-2024,542.6356
13-01-2024,531.6549
14-01-2024,522.526
15-01-2024,512.58575
16-01-2024,506.26178
17-01-2024,504.33786
18-01-2024,502.2982
19-01-2024,504.08344
20-01-2024,500.66296
21-01-2024,498.31207
22-01-2024,494.30573
23-01-2024,493.02585
24-01-2024,495.22754
25-01-2024,496.3836
26-01-2024,500.44034
27-01-2024,498.38962
28-01-2024,496.54465
29-01-2024,492.23328
30-01-2024,489.90305
31-01-2024,490.38623
01-02-2024,489.2419
02-02-2024,490.51016
03-02-2024,485.2813
04-02-2024,479.96988
05-02-2024,472.00546
06-02-2024,465.9356
07-02-2024,462.68872
08-02-2024,457.91425
09-02-2024,455.73508
10-02-2024,447.31552
11-02-2024,439.13382
12-02-2024,428.67212
13-02-2024,420.5189
14-02-2024,415.63116
15-02-2024,409.6752
16-02-2024,406.7786
17-02-2024,398.09915
18-02-2024,390.09802
19-02-2024,380.23087
20-02-2024,373.0511
21-02-2024,369.47394
22-02-2024,365.11816
23-02-2024,364.05984
24-02-2024,357.4028
25-02-2024,351.55328
26-02-2024,343.91238
27-02-2024,338.9811
28-02-2024,337.62518
29-02-2024,335.41815
01-03-2024,336.39624
02-03-2024,331.62927
03-03-2024,327.49594
04-03-2024,321.3766
05-03-2024,317.7586
06-03-2024,317.5009
07-03-2024,316.17682
08-03-2024,317.8287
09-03-2024,313.538
10-03-2024,309.7002
11-03-2024,303.7165
12-03-2024,300.09818
13-03-2024,299.7307
14-03-2024,298.21524
15-03-2024,299.62247
16-03-2024,295.06174
17-03-2024,290.95526
18-03-2024,284.72903
19-03-2024,280.9167
20-03-2024,280.42285
21-03-2024,278.86456
22-03-2024,280.32465
23-03-2024,275.92105
24-03-2024,272.08072
25-03-2024,266.23105
26-03-2024,262.9037
27-03-2024,262.9986
28-03-2024,262.1258
29-03-2024,264.35922
30-03-2024,260.8066
31-03-2024,257.88425
01-04-2024,253.00871
02-04-2024,250.70137
03-04-2024,251.85298
04-04-2024,252.0658
05-04-2024,255.40793
06-04-2024,252.98349
07-04-2024,251.20738
08-04-2024,247.49724
09-04-2024,246.37791
10-04-2024,248.7457
11-04-2024,250.21037
12-04-2024,254.84903
13-04-2024,253.77588
14-04-2024,253.41632
15-04-2024,251.19846
16-04-2024,251.65677
17-04-2024,255.69582
18-04-2024,258.9315
19-04-2024,265.44434
20-04-2024,266.3486
21-04-2024,268.06604
22-04-2024,268.01666
23-04-2024,270.72244
24-04-2024,277.07053
25-04-2024,282.6546
26-04-2024,291.52823
27-04-2024,294.77408
28-04-2024,298.77814
29-04-2024,300.92102
30-04-2024,305.6822
01-05-2024,313.9041
02-05-2024,321.1343
03-05-2024,331.37982
04-05-2024,335.6775
05-05-2024,340.3692
06-05-2024,342.79425
07-05-2024,347.39496
08-05-2024,354.98157
09-05-2024,361.07574
10-05-2024,369.6657
11-05-2024,371.77744
12-05-2024,373.75082
13-05-2024,372.93253
14-05-2024,373.78198
15-05-2024,377.1367
16-05-2024,378.55566
17-05-2024,382.07446
18-05-2024,378.7763
19-05-2024,375.06732
20-05-2024,368.36896
21-05-2024,363.22305
22-05-2024,360.55606
23-05-2024,356.02124
24-05-2024,353.75238
25-05-2024,344.93338
26-05-2024,336.0721
27-05-2024,324.69095
28-05-2024,315.4305
29-05-2024,309.31195
30-05-2024,302.0777
31-05-2024,297.94348
01-06-2024,288.16663
02-06-2024,279.31818
03-06-2024,268.97272
04-06-2024,261.81036
05-06-2024,258.87875
06-06-2024,255.9327
07-06-2024,257.18588
08-06-2024,253.8787
09-06-2024,252.5506
10-06-2024,250.72974
11-06-2024,253.03568
12-06-2024,260.44174
13-06-2024,268.61572
14-06-2024,281.6725
15-06-2024,290.74304
16-06-2024,302.24832
17-06-2024,313.59045
18-06-2024,329.25687
19-06-2024,350.08466
20-06-2024,371.6031
21-06-2024,397.7879
22-06-2024,419.6324
23-06-2024,443.423
24-06-2024,466.43246
25-06-2024,493.02554
26-06-2024,523.92505
27-06-2024,554.55585
28-06-2024,588.8004
29-06-2024,617.5714
30-06-2024,647.0877
01-07-2024,674.56866
02-07-2024,704.34045
03-07-2024,737.1021
04-07-2024,768.26965
05-07-2024,801.7321
06-07-2024,828.4226
07-07-2024,854.59503
08-07-2024,877.5165
09-07-2024,901.57336
10-07-2024,927.53577
11-07-2024,950.90094
12-07-2024,975.6468
13-07-2024,992.8029
14-07-2024,1008.72424
15-07-2024,1020.7831
16-07-2024,1033.4725
17-07-2024,1047.6702
18-07-2024,1058.979
19-07-2024,1071.4808
20-07-2024,1076.3042
21-07-2024,1079.8982
22-07-2024,1079.7228
23-07-2024,1080.3513
24-07-2024,1082.7335
25-07-2024,1082.5361
26-07-2024,1083.8954
27-07-2024,1077.9854
28-07-2024,1071.2916
29-07-2024,1061.3018
30-07-2024,1052.6084
31-07-2024,1046.1732
01-08-2024,1037.6672
02-08-2024,1031.2253
03-08-2024,1018.0156
04-08-2024,1004.513
05-08-2024,988.1919
06-08-2024,973.63025
07-08-2024,961.7742
08-08-2024,948.2803
09-08-2024,937.27014
10-08-2024,919.90106
11-08-2024,902.6408
12-08-2024,882.96045
13-08-2024,865.4392
14-08-2024,851.0288
15-08-2024,835.39685
16-08-2024,822.68054
17-08-2024,804.05743
18-08-2024,786.0198
19-08-2024,766.06647
20-08-2024,748.8073
21-08-2024,735.2267
22-08-2024,721.02545
23-08-2024,710.37396
24-08-2024,694.481
25-08-2024,679.86804
26-08-2024,664.0588
27-08-2024,651.68304
28-08-2024,643.73944
29-08-2024,635.93567
30-08-2024,632.4412
31-08-2024,624.45593
01-09-2024,618.4828
02-09-2024,612.01855
03-09-2024,609.6566
04-09-2024,612.3502
05-09-2024,615.7531
06-09-2024,623.97327
07-09-2024,628.1418
08-09-2024,634.68713
09-09-2024,641.0267
10-09-2024,651.6716
11-09-2024,667.4905
12-09-2024,684.053
13-09-2024,705.38367
14-09-2024,722.5337
15-09-2024,741.85596
16-09-2024,760.69824
17-09-2024,783.5096
18-09-2024,811.1049
19-09-2024,839.00946
20-09-2024,871.2137
21-09-2024,898.74536
22-09-2024,927.94434
23-09-2024,956.15656
24-09-2024,987.83887
25-09-2024,1023.8239
26-09-2024,1059.663
27-09-2024,1099.3798
28-09-2024,1134.0408
29-09-2024,1170.0294
30-09-2024,1204.7363
01-10-2024,1242.6641
02-10-2024,1284.6885
03-10-2024,1326.4003
04-10-2024,1371.8573
05-10-2024,1412.1514
06-10-2024,1453.6818
07-10-2024,1493.8442
08-10-2024,1537.1333
09-10-2024,1584.4039
10-10-2024,1631.2112
11-10-2024,1681.5626
12-10-2024,1726.4862
13-10-2024,1772.3024
14-10-2024,1816.3157
15-10-2024,1862.9176
16-10-2024,1912.8496
17-10-2024,1961.5459
18-10-2024,2012.8868
19-10-2024,2057.7703
20-10-2024,2102.3872
21-10-2024,2143.9143
22-10-2024,2186.622
23-10-2024,2231.1392
24-10-2024,2272.8
25-10-2024,2315.4001
26-10-2024,2349.77
27-10-2024,2382.0542
28-10-2024,2409.405
29-10-2024,2436.0928
30-10-2024,2462.7732
31-10-2024,2484.8323
01-11-2024,2506.1455
02-11-2024,2517.6497
03-11-2024,2525.6208
04-11-2024,2527.3691
05-11-2024,2527.3442
06-11-2024,2526.4023
07-11-2024,2520.1482
08-11-2024,2512.6897
09-11-2024,2495.2075
10-11-2024,2474.2297
11-11-2024,2447.3198
12-11-2024,2419.1821
13-11-2024,2390.9207
14-11-2024,2358.3787
15-11-2024,2325.8901
16-11-2024,2284.8442
17-11-2024,2241.9563
18-11-2024,2194.9543
19-11-2024,2148.6797
20-11-2024,2104.345
21-11-2024,2057.872
22-11-2024,2013.6417
23-11-2024,1963.0582
24-11-2024,1912.8204
25-11-2024,1860.6089
26-11-2024,1811.1875
27-11-2024,1765.6648
28-11-2024,1719.8331
29-11-2024,1677.9213
30-11-2024,1631.1631
01-12-2024,1586.0718
02-12-2024,1540.1315
03-12-2024,1497.9017
04-12-2024,1460.2845
05-12-2024,1422.8667
06-12-2024,1389.6768
07-12-2024,1351.7576
08-12-2024,1315.4436
09-12-2024,1278.0566
10-12-2024,1244.013
11-12-2024,1214.0917
