Date,weekly runoff
01-01-2024,0.5482014
02-01-2024,0.31327385
03-01-2024,0.08644589
04-01-2024,0.13472988
05-01-2024,0.3489281
06-01-2024,0.55528367
07-01-2024,0.75309855
08-01-2024,0.9403162
09-01-2024,1.1210425
10-01-2024,1.2869058
11-01-2024,1.440781
12-01-2024,1.5819291
13-01-2024,1.7102149
14-01-2024,1.8257979
15-01-2024,1.9275867
16-01-2024,2.0207376
17-01-2024,2.09799
18-01-2024,2.1633668
19-01-2024,2.2172856
20-01-2024,2.2607524
21-01-2024,2.2950273
22-01-2024,2.3200524
23-01-2024,2.3419309
24-01-2024,2.3542407
25-01-2024,2.361718
26-01-2024,2.3653538
27-01-2024,2.3665786
28-01-2024,2.3669167
29-01-2024,2.366416
30-01-2024,2.3711224
31-01-2024,2.3744009
01-02-2024,2.3806243
02-02-2024,2.3902822
03-02-2024,2.4041781
04-02-2024,2.4231014
05-02-2024,2.446274
06-02-2024,2.478848
07-02-2024,2.5132442
08-02-2024,2.5528674
09-02-2024,2.5972338
10-02-2024,2.6461914
11-02-2024,2.699614
12-02-2024,2.7558656
13-02-2024,2.8193152
14-02-2024,2.8816926
15-02-2024,2.9458146
16-02-2024,3.0107224
17-02-2024,3.0759099
18-02-2024,3.1410196
19-02-2024,3.204309
20-02-2024,3.2701623
21-02-2024,3.3304415
22-02-2024,3.3882022
23-02-2024,3.4428236
24-02-2024,3.4942214
25-02-2024,3.5425308
26-02-2024,3.5865567
27-02-2024,3.6312687
28-02-2024,3.6691353
29-02-2024,3.703822
01-03-2024,3.7353058
02-03-2024,3.7640724
03-03-2024,3.7907841
04-03-2024,3.8147173
05-03-2024,3.8412473
06-03-2024,3.863173
07-03-2024,3.8844101
08-03-2024,3.9051
09-03-2024,3.9258063
10-03-2024,3.9471838
11-03-2024,3.9684193
12-03-2024,3.9947217
13-03-2024,4.0186543
14-03-2024,4.0438375
15-03-2024,4.070069
16-03-2024,4.0975294
17-03-2024,4.1264663
18-03-2024,4.1556487
19-03-2024,4.1898656
20-03-2024,4.2212763
21-03-2024,4.2531195
22-03-2024,4.284848
23-03-2024,4.316342
24-03-2024,4.347602
25-03-2024,4.3772054
26-03-2024,4.409817
27-03-2024,4.4375315
28-03-2024,4.463591
29-03-2024,4.487514
30-03-2024,4.5093045
31-03-2024,4.529142
01-04-2024,4.5458293
02-04-2024,4.5642934
03-04-2024,4.576923
04-04-2024,4.587271
05-04-2024,4.5951777
06-04-2024,4.6009645
07-04-2024,4.605118
08-04-2024,4.6067247
09-04-2024,4.610966
10-04-2024,4.6104455
11-04-2024,4.608886
12-04-2024,4.606245
13-04-2024,4.6029124
14-04-2024,4.599385
15-04-2024,4.594705
16-04-2024,4.5939584
17-04-2024,4.589603
18-04-2024,4.5851736
19-04-2024,4.5804043
20-04-2024,4.5754313
21-04-2024,4.5704803
22-04-2024,4.564315
23-04-2024,4.5617404
24-04-2024,4.5549483
25-04-2024,4.547231
26-04-2024,4.53811
27-04-2024,4.5275517
28-04-2024,4.515659
29-04-2024,4.5011315
30-04-2024,4.488771
01-05-2024,4.470829
02-05-2024,4.450723
03-05-2024,4.4281664
04-05-2024,4.4033785
05-05-2024,4.3767753
06-05-2024,4.3474197
07-05-2024,4.320521
08-05-2024,4.288772
09-05-2024,4.256055
10-05-2024,4.222557
11-05-2024,4.1889725
12-05-2024,4.156173
13-05-2024,4.12365
14-05-2024,4.0969977
15-05-2024,4.0692396
16-05-2024,4.0445204
17-05-2024,4.023211
18-05-2024,4.006103
19-05-2024,3.9940715
20-05-2024,3.986509
21-05-2024,3.9888086
22-05-2024,3.993688
23-05-2024,4.0048823
24-05-2024,4.022255
25-05-2024,4.0459943
26-05-2024,4.076289
27-05-2024,4.1117706
28-05-2024,4.157008
29-05-2024,4.2038484
30-05-2024,4.2551217
31-05-2024,4.309772
01-06-2024,4.3670692
02-06-2024,4.426303
03-06-2024,4.485242
04-06-2024,4.5476475
05-06-2024,4.604629
06-06-2024,4.658368
07-06-2024,4.7072577
08-06-2024,4.750133
09-06-2024,4.785971
10-06-2024,4.812362
11-06-2024,4.833027
12-06-2024,4.839175
13-06-2024,4.8332314
14-06-2024,4.813977
15-06-2024,4.7807665
16-06-2024,4.7332325
17-06-2024,4.6697373
18-06-2024,4.594887
19-06-2024,4.5008726
20-06-2024,4.3911824
21-06-2024,4.2657256
22-06-2024,4.125037
23-06-2024,3.969955
24-06-2024,3.8000622
25-06-2024,3.6211774
26-06-2024,3.42668
27-06-2024,3.2212036
28-06-2024,3.0057416
29-06-2024,2.7818394
30-06-2024,2.551256
01-07-2024,2.314394
02-07-2024,2.0777788
03-07-2024,1.8353767
04-07-2024,1.592281
05-07-2024,1.3498149
06-07-2024,1.109721
07-07-2024,0.87382287
08-07-2024,0.6424597
09-07-2024,0.4219683
10-07-2024,0.20600854
11-07-2024,0.000741907
12-07-2024,0.19747478
13-07-2024,0.38305166
14-07-2024,0.5563284
15-07-2024,0.71770906
16-07-2024,0.86164945
17-07-2024,0.9953183
18-07-2024,1.1148888
19-07-2024,1.2204125
20-07-2024,1.3116062
21-07-2024,1.3881658
22-07-2024,1.4513074
23-07-2024,1.4962616
24-07-2024,1.5309266
25-07-2024,1.5521514
26-07-2024,1.5606046
27-07-2024,1.5565573
28-07-2024,1.540193
29-07-2024,1.5131494
30-07-2024,1.4710121
31-07-2024,1.4219692
01-08-2024,1.3630984
02-08-2024,1.2952396
03-08-2024,1.2187831
04-08-2024,1.1339861
05-08-2024,1.04252
06-08-2024,0.93997306
07-08-2024,0.83451086
08-08-2024,0.72317207
09-08-2024,0.6067475
10-08-2024,0.48557594
11-08-2024,0.35986674
12-08-2024,0.2312534
13-08-2024,0.09530035
14-08-2024,0.03983149
15-08-2024,0.17708685
16-08-2024,0.31563458
17-08-2024,0.45507124
18-08-2024,0.59509885
19-08-2024,0.7339728
20-08-2024,0.8759976
21-08-2024,1.0128647
22-08-2024,1.1473595
23-08-2024,1.2784842
24-08-2024,1.405668
25-08-2024,1.5284511
26-08-2024,1.6449381
27-08-2024,1.7593014
28-08-2024,1.8631257
29-08-2024,1.9591199
30-08-2024,2.0462477
31-08-2024,2.1239412
01-09-2024,2.1917896
02-09-2024,2.2479975
03-09-2024,2.2968884
04-09-2024,2.330252
05-09-2024,2.3510556
06-09-2024,2.3585732
07-09-2024,2.3525965
08-09-2024,2.3331206
09-09-2024,2.2987962
10-09-2024,2.2544281
11-09-2024,2.1923144
12-09-2024,2.1159508
13-09-2024,2.0251515
14-09-2024,1.9202498
15-09-2024,1.8017766
16-09-2024,1.6689017
17-09-2024,1.5269243
18-09-2024,1.3686032
19-09-2024,1.1978543
20-09-2024,1.0148623
21-09-2024,0.82027876
22-09-2024,0.6148927
23-09-2024,0.39807123
24-09-2024,0.17524771
25-09-2024,0.060748067
26-09-2024,0.3059907
27-09-2024,0.560343
28-09-2024,0.8232538
29-09-2024,1.0940796
30-09-2024,1.3736366
01-10-2024,1.6567019
02-10-2024,1.9506735
03-10-2024,2.251859
04-10-2024,2.5603476
05-10-2024,2.875795
06-10-2024,3.1977334
07-10-2024,3.5271106
08-10-2024,3.8587801
09-10-2024,4.2001514
10-10-2024,4.5474677
11-10-2024,4.9006724
12-10-2024,5.259187
13-10-2024,5.6222196
14-10-2024,5.990299
15-10-2024,6.3577714
16-10-2024,6.7314477
17-10-2024,7.106894
18-10-2024,7.483304
19-10-2024,7.8592873
20-10-2024,8.233192
21-10-2024,8.604658
22-10-2024,8.967124
23-10-2024,9.326501
24-10-2024,9.677479
25-10-2024,10.018417
26-10-2024,10.347163
27-10-2024,10.6613865
28-10-2024,10.960154
29-10-2024,11.236462
30-10-2024,11.495917
31-10-2024,11.7330675
01-11-2024,11.946304
02-11-2024,12.133682
03-11-2024,12.29327
04-11-2024,12.424727
05-11-2024,12.521831
06-11-2024,12.591162
07-11-2024,12.628415
08-11-2024,12.633303
09-11-2024,12.605352
10-11-2024,12.544241
11-11-2024,12.45135
12-11-2024,12.322267
13-11-2024,12.165446
14-11-2024,11.978494
15-11-2024,11.763033
16-11-2024,11.520477
17-11-2024,11.2523365
18-11-2024,10.961736
19-11-2024,10.64589
20-11-2024,10.31474
21-11-2024,9.967213
22-11-2024,9.606057
23-11-2024,9.233609
24-11-2024,8.852076
25-11-2024,8.465044
26-11-2024,8.069953
27-11-2024,7.676722
28-11-2024,7.2840157
29-11-2024,6.894089
30-11-2024,6.508565
01-12-2024,6.1287246
02-12-2024,5.757049
03-12-2024,5.3897066
04-12-2024,5.0352087
05-12-2024,4.690704
06-12-2024,4.3568563
07-12-2024,4.0336485
08-12-2024,3.7207131
09-12-2024,3.4188986
10-12-2024,3.122793
11-12-2024,2.8394096
12-12-2024,2.564507
13-12-2024,2.2974946
14-12-2024,2.0372567
15-12-2024,1.7825027
16-12-2024,1.5333477
17-12-2024,1.283846
18-12-2024,1.0406817
19-12-2024,0.7994901
20-12-2024,0.55976
21-12-2024,0.3206489
22-12-2024,0.081320934
23-12-2024,0.15748881
24-12-2024,0.40096065
25-12-2024,0.6415226
