Date,daily runoff
01-01-2024,0.3407287
02-01-2024,0.35715312
03-01-2024,0.35578606
04-01-2024,0.36981615
05-01-2024,0.37884566
06-01-2024,0.37595567
07-01-2024,0.38604668
08-01-2024,0.37562382
09-01-2024,0.38983697
10-01-2024,0.3872719
11-01-2024,0.40104306
12-01-2024,0.41064322
13-01-2024,0.4090136
14-01-2024,0.4208889
15-01-2024,0.4125893
16-01-2024,0.429067
17-01-2024,0.42870462
18-01-2024,0.44441554
19-01-2024,0.45550102
20-01-2024,0.45472702
21-01-2024,0.4666763
22-01-2024,0.45754564
23-01-2024,0.4721974
24-01-2024,0.46896198
25-01-2024,0.48073965
26-01-2024,0.48685968
27-01-2024,0.48015627
28-01-2024,0.4853189
29-01-2024,0.46868697
30-01-2024,0.47529674
31-01-2024,0.46367797
01-02-2024,0.4669504
02-02-2024,0.4646747
03-02-2024,0.44992155
04-02-2024,0.44761375
05-02-2024,0.42431304
06-02-2024,0.42525923
07-02-2024,0.4091603
08-02-2024,0.40928152
09-02-2024,0.40529194
10-02-2024,0.39032838
11-02-2024,0.38933513
12-02-2024,0.36884862
13-02-2024,0.3740371
14-02-2024,0.36349133
15-02-2024,0.37031743
16-02-2024,0.37398687
17-02-2024,0.3674065
18-02-2024,0.37526456
19-02-2024,0.36382335
20-02-2024,0.3779668
21-02-2024,0.37600017
22-02-2024,0.39075166
23-02-2024,0.40143114
24-02-2024,0.40070882
25-02-2024,0.41306895
26-02-2024,0.40460926
27-02-2024,0.42009434
28-02-2024,0.41775972
29-02-2024,0.4304165
01-03-2024,0.43731147
02-03-2024,0.43120545
03-03-2024,0.4367249
04-03-2024,0.42015806
05-03-2024,0.426503
06-03-2024,0.41426542
07-03-2024,0.41655543
08-03-2024,0.41293904
09-03-2024,0.39650697
10-03-2024,0.39221656
11-03-2024,0.36667767
12-03-2024,0.36519095
13-03-2024,0.34653613
14-03-2024,0.34406006
15-03-2024,0.3375205
16-03-2024,0.32014835
17-03-2024,0.31698483
18-03-2024,0.2946636
19-03-2024,0.2984479
20-03-2024,0.2870187
21-03-2024,0.2935647
22-03-2024,0.29763037
23-03-2024,0.29218337
24-03-2024,0.30195886
25-03-2024,0.29325014
26-03-2024,0.31095526
27-03-2024,0.3133756
28-03-2024,0.33331695
29-03-2024,0.34994835
30-03-2024,0.35588086
31-03-2024,0.3755225
01-04-2024,0.37487853
02-04-2024,0.39860702
03-04-2024,0.40482485
04-04-2024,0.42621464
05-04-2024,0.4418878
06-04-2024,0.44446573
07-04-2024,0.4584345
08-04-2024,0.4499442
09-04-2024,0.46386018
10-04-2024,0.45856372
11-04-2024,0.4670519
12-04-2024,0.46879148
13-04-2024,0.45679012
14-04-2024,0.4559403
15-04-2024,0.43280646
16-04-2024,0.43266454
17-04-2024,0.41429034
18-04-2024,0.4110479
19-04-2024,0.40273243
20-04-2024,0.3826315
21-04-2024,0.37586057
22-04-2024,0.34914318
23-04-2024,0.34784526
24-04-2024,0.3307607
25-04-2024,0.3311984
26-04-2024,0.32882655
27-04-2024,0.31673717
28-04-2024,0.31978664
29-04-2024,0.30438337
30-04-2024,0.31553105
01-05-2024,0.31162447
02-05-2024,0.32554808
03-05-2024,0.33653283
04-05-2024,0.33723322
05-05-2024,0.35208112
06-05-2024,0.34708583
07-05-2024,0.36688936
08-05-2024,0.3695733
09-05-2024,0.387767
10-05-2024,0.40051225
11-05-2024,0.40034673
12-05-2024,0.4116617
13-05-2024,0.40050396
14-05-2024,0.4116307
15-05-2024,0.40331382
16-05-2024,0.40844288
17-05-2024,0.4063833
18-05-2024,0.39005062
19-05-2024,0.3842576
20-05-2024,0.3555047
21-05-2024,0.3490218
22-05-2024,0.323559
23-05-2024,0.31247616
24-05-2024,0.29558706
25-05-2024,0.26622087
26-05-2024,0.24955721
27-05-2024,0.21240549
28-05-2024,0.20023766
29-05-2024,0.1719715
30-05-2024,0.16105504
31-05-2024,0.14730757
01-06-2024,0.123980686
02-06-2024,0.11609499
03-06-2024,0.09022357
04-06-2024,0.09153117
05-06-2024,0.0785659
