Date,Discharge
01-01-2024,727.46326
02-01-2024,687.10077
03-01-2024,697.2432
04-01-2024,659.34906
05-01-2024,638.2363
06-01-2024,652.72504
07-01-2024,630.4758
08-01-2024,666.2655
09-01-2024,631.1313
10-01-2024,643.03357
11-01-2024,603.6836
12-01-2024,578.2664
13-01-2024,586.0696
14-01-2024,555.30536
15-01-2024,581.3665
16-01-2024,535.949
17-01-2024,537.6909
18-01-2024,488.97705
19-01-2024,455.6373
20-01-2024,457.55283
21-01-2024,423.45697
22-01-2024,449.17218
23-01-2024,406.71658
24-01-2024,414.931
25-01-2024,376.27505
26-01-2024,356.5213
27-01-2024,375.36197
28-01-2024,361.21463
29-01-2024,409.46796
30-01-2024,391.60184
31-01-2024,425.83072
01-02-2024,413.9197
02-02-2024,420.90106
03-02-2024,465.70486
04-02-2024,475.9899
05-02-2024,546.4146
06-02-2024,547.78186
07-02-2024,597.7053
08-02-2024,597.4467
09-02-2024,611.6505
10-02-2024,658.989
11-02-2024,667.0037
12-02-2024,730.3826
13-02-2024,720.10657
14-02-2024,754.1123
15-02-2024,734.12213
16-02-2024,725.3658
17-02-2024,747.2093
18-02-2024,727.9762
19-02-2024,763.20166
20-02-2024,724.7531
21-02-2024,731.466
22-02-2024,685.9455
23-02-2024,654.2609
24-02-2024,656.54706
25-02-2024,621.8011
26-02-2024,646.1139
27-02-2024,601.7711
28-02-2024,607.87524
29-02-2024,567.1357
01-03-2024,545.5576
02-03-2024,563.0435
03-03-2024,548.19385
04-03-2024,596.5485
05-03-2024,579.70294
06-03-2024,615.9488
07-03-2024,607.0869
08-03-2024,618.14325
09-03-2024,667.9987
10-03-2024,684.2205
11-03-2024,761.3349
12-03-2024,769.97437
13-03-2024,827.5482
14-03-2024,835.08374
15-03-2024,856.9668
16-03-2024,911.5931
17-03-2024,926.2162
18-03-2024,995.23285
19-03-2024,989.3361
20-03-2024,1026.1871
21-03-2024,1007.2521
22-03-2024,997.53143
23-03-2024,1016.19635
24-03-2024,991.41614
25-03-2024,1018.6177
26-03-2024,969.6107
27-03-2024,963.22784
28-03-2024,902.1275
29-03-2024,852.48926
30-03-2024,834.61554
31-03-2024,777.7257
01-04-2024,778.18427
02-04-2024,708.5977
03-04-2024,688.4301
04-04-2024,620.78613
05-04-2024,572.0921
06-04-2024,562.68884
07-04-2024,521.62244
08-04-2024,544.8764
09-04-2024,504.47772
10-04-2024,519.1275
11-04-2024,491.00546
12-04-2024,485.4761
13-04-2024,521.7115
14-04-2024,527.5155
15-04-2024,597.5913
16-04-2024,602.6843
17-04-2024,660.2501
18-04-2024,671.29517
19-04-2024,700.1177
20-04-2024,764.9614
21-04-2024,792.86816
22-04-2024,877.9678
23-04-2024,890.63873
24-04-2024,948.18787
25-04-2024,951.6961
26-04-2024,965.75806
27-04-2024,1009.12836
28-04-2024,1009.5597
29-04-2024,1062.0731
30-04-2024,1038.0929
01-05-2024,1056.0963
02-05-2024,1018.4254
03-05-2024,990.99
04-05-2024,993.8752
05-05-2024,956.1405
06-05-2024,974.05133
07-05-2024,920.1768
08-05-2024,914.0057
09-05-2024,858.72675
10-05-2024,820.9064
11-05-2024,821.07605
12-05-2024,788.5164
13-05-2024,819.4811
14-05-2024,786.294
15-05-2024,807.9701
16-05-2024,787.0096
17-05-2024,789.09344
18-05-2024,833.69586
19-05-2024,848.89856
20-05-2024,929.64874
21-05-2024,946.89374
22-05-2024,1018.2419
23-05-2024,1044.7971
24-05-2024,1090.896
25-05-2024,1174.7588
26-05-2024,1223.3414
27-05-2024,1330.6262
28-05-2024,1366.7864
29-05-2024,1448.869
30-05-2024,1477.6482
31-05-2024,1517.3722
01-06-2024,1586.4181
02-06-2024,1612.1404
03-06-2024,1689.1517
04-06-2024,1688.4691
05-06-2024,1728.1747
06-06-2024,1710.2383
07-06-2024,1700.2314
08-06-2024,1717.9448
09-06-2024,1692.195
10-06-2024,1719.0642
11-06-2024,1671.0046
12-06-2024,1667.4564
13-06-2024,1611.6329
14-06-2024,1570.1978
15-06-2024,1563.8501
16-06-2024,1522.1075
17-06-2024,1541.5244
18-06-2024,1494.7819
19-06-2024,1501.302
20-06-2024,1464.0322
21-06-2024,1449.1316
22-06-2024,1476.5726
23-06-2024,1474.9443
24-06-2024,1539.6993
25-06-2024,1542.2788
26-06-2024,1600.762
27-06-2024,1616.6924
28-06-2024,1654.8068
29-06-2024,1733.6787
30-06-2024,1780.5654
01-07-2024,1889.6953
02-07-2024,1931.4292
03-07-2024,2022.9436
04-07-2024,2065.0847
05-07-2024,2122.1182
06-07-2024,2212.3884
07-07-2024,2263.1714
08-07-2024,2368.9624
09-07-2024,2400.6296
10-07-2024,2476.0823
11-07-2024,2497.0996
12-07-2024,2529.0554
13-07-2024,2591.539
14-07-2024,2613.1729
15-07-2024,2689.853
16-07-2024,2693.8623
17-07-2024,2744.4883
18-07-2024,2744.812
19-07-2024,2761.3828
20-07-2024,2814.8052
21-07-2024,2834.5151
22-07-2024,2916.995
23-07-2024,2934.8586
24-07-2024,3007.4553
25-07-2024,3037.6487
26-07-2024,3091.4924
27-07-2024,3188.823
28-07-2024,3258.055
29-07-2024,3394.4175
30-07-2024,3469.0725
31-07-2024,3599.7566
01-08-2024,3687.6025
02-08-2024,3796.8643
03-08-2024,3945.5596
04-08-2024,4060.3171
05-08-2024,4234.668
06-08-2024,4338.212
07-08-2024,4487.31
08-08-2024,4581.949
09-08-2024,4685.5063
10-08-2024,4815.421
11-08-2024,4898.068
12-08-2024,5027.0635
13-08-2024,5072.44
14-08-2024,5151.3315
15-08-2024,5164.8296
16-08-2024,5177.724
17-08-2024,5209.1455
18-08-2024,5187.4014
19-08-2024,5208.233
20-08-2024,5143.9424
21-08-2024,5114.021
22-08-2024,5021.946
23-08-2024,4934.861
24-08-2024,4874.1587
25-08-2024,4770.2563
