Date,weekly runoff
01-01-2024,2.3028352
02-01-2024,2.3741403
03-01-2024,2.4346387
04-01-2024,2.4877677
05-01-2024,2.5350296
06-01-2024,2.5769072
07-01-2024,2.6144836
08-01-2024,2.6514375
09-01-2024,2.6874752
10-01-2024,2.7191954
11-01-2024,2.7503066
12-01-2024,2.7823231
13-01-2024,2.8154814
14-01-2024,2.850373
15-01-2024,2.8899565
16-01-2024,2.9330187
17-01-2024,2.975075
18-01-2024,3.0186245
19-01-2024,3.0638924
20-01-2024,3.109793
21-01-2024,3.1556106
22-01-2024,3.203062
23-01-2024,3.2498014
24-01-2024,3.290364
25-01-2024,3.3264594
26-01-2024,3.357744
27-01-2024,3.3828087
28-01-2024,3.4008741
29-01-2024,3.4138606
30-01-2024,3.419889
31-01-2024,3.4142153
01-02-2024,3.3995006
02-02-2024,3.3765569
03-02-2024,3.3452976
04-02-2024,3.3063922
05-02-2024,3.2632878
06-02-2024,3.2156615
07-02-2024,3.1603012
08-02-2024,3.1013258
09-02-2024,3.0408785
10-02-2024,2.9800339
11-02-2024,2.9204073
12-02-2024,2.866143
13-02-2024,2.8173378
14-02-2024,2.7709029
15-02-2024,2.7307737
16-02-2024,2.6986039
17-02-2024,2.6746798
18-02-2024,2.6595514
19-02-2024,2.6560476
20-02-2024,2.662737
21-02-2024,2.674834
22-02-2024,2.6944594
23-02-2024,2.7213879
24-02-2024,2.7540212
25-02-2024,2.7910771
26-02-2024,2.8336637
27-02-2024,2.8787947
28-02-2024,2.9203463
29-02-2024,2.9593632
01-03-2024,2.9948435
02-03-2024,3.0247426
03-03-2024,3.0476773
04-03-2024,3.0650122
05-03-2024,3.0743701
06-03-2024,3.0705795
07-03-2024,3.0559518
08-03-2024,3.031036
09-03-2024,2.995577
10-03-2024,2.9501717
11-03-2024,2.8982942
12-03-2024,2.8397472
13-03-2024,2.7715409
14-03-2024,2.6981075
15-03-2024,2.6219873
16-03-2024,2.5447273
17-03-2024,2.4684775
18-03-2024,2.3979676
19-03-2024,2.3339143
20-03-2024,2.2738678
21-03-2024,2.2224052
22-03-2024,2.1818068
23-03-2024,2.1529534
24-03-2024,2.1369395
25-03-2024,2.1370745
26-03-2024,2.1523266
27-03-2024,2.1782172
28-03-2024,2.217068
29-03-2024,2.2687433
30-03-2024,2.331614
31-03-2024,2.404245
01-04-2024,2.4874668
02-04-2024,2.5778966
03-04-2024,2.6688988
04-04-2024,2.7608995
05-04-2024,2.8521852
06-04-2024,2.939917
07-04-2024,3.0218558
08-04-2024,3.0984616
09-04-2024,3.1664274
10-04-2024,3.2196455
11-04-2024,3.2595062
12-04-2024,3.2856734
13-04-2024,3.2970624
14-04-2024,3.2935152
15-04-2024,3.2778447
