Date,daily runoff
01-01-2024,1.4861339
02-01-2024,1.4940647
03-01-2024,1.4871316
04-01-2024,1.4725521
05-01-2024,1.4770118
06-01-2024,1.4937102
07-01-2024,1.5062764
08-01-2024,1.4821718
09-01-2024,1.4831421
10-01-2024,1.4693649
11-01-2024,1.4482027
12-01-2024,1.4464829
13-01-2024,1.4575378
14-01-2024,1.465119
15-01-2024,1.4367968
16-01-2024,1.4344089
17-01-2024,1.4182065
18-01-2024,1.3956059
19-01-2024,1.3934665
20-01-2024,1.4051313
21-01-2024,1.4143406
22-01-2024,1.3886311
23-01-2024,1.3897873
24-01-2024,1.3779874
25-01-2024,1.3605572
26-01-2024,1.3642509
27-01-2024,1.3822936
28-01-2024,1.3982973
29-01-2024,1.3796643
30-01-2024,1.3880402
31-01-2024,1.383464
01-02-2024,1.373125
02-02-2024,1.3836452
03-02-2024,1.4081261
04-02-2024,1.4300672
05-02-2024,1.4167705
06-02-2024,1.4297962
07-02-2024,1.4291143
08-02-2024,1.4218628
09-02-2024,1.4346306
10-02-2024,1.4605047
11-02-2024,1.4829881
12-02-2024,1.469405
13-02-2024,1.4813553
14-02-2024,1.4788643
15-02-2024,1.4691396
16-02-2024,1.4788533
17-02-2024,1.501186
18-02-2024,1.5197434
19-02-2024,1.5019583
20-02-2024,1.5095433
21-02-2024,1.5026382
22-02-2024,1.4885639
23-02-2024,1.494103
24-02-2024,1.5125403
25-02-2024,1.5275788
26-02-2024,1.5067387
27-02-2024,1.5118085
28-02-2024,1.5029905
29-02-2024,1.4876547
01-03-2024,1.492616
02-03-2024,1.5111773
03-03-2024,1.527041
04-03-2024,1.5077106
05-03-2024,1.5149415
06-03-2024,1.5088859
07-03-2024,1.4968477
08-03-2024,1.5055621
09-03-2024,1.5282366
10-03-2024,1.5484679
11-03-2024,1.5336424
12-03-2024,1.5453899
13-03-2024,1.5437309
14-03-2024,1.5358336
15-03-2024,1.5482949
16-03-2024,1.5741862
17-03-2024,1.5969709
18-03-2024,1.5839088
19-03-2024,1.5965118
20-03-2024,1.5946945
21-03-2024,1.5855331
22-03-2024,1.5955497
23-03-2024,1.6177596
24-03-2024,1.6355909
25-03-2024,1.6162916
26-03-2024,1.6213852
27-03-2024,1.6108238
28-03-2024,1.5917464
29-03-2024,1.5907642
30-03-2024,1.6010071
31-03-2024,1.6060431
01-04-2024,1.5732826
02-04-2024,1.5644339
03-04-2024,1.539652
04-04-2024,1.5062958
05-04-2024,1.4912083
06-04-2024,1.4877603
07-04-2024,1.4797646
08-04-2024,1.4348766
09-04-2024,1.4150442
10-04-2024,1.3806522
11-04-2024,1.3392742
12-04-2024,1.3179475
13-04-2024,1.3102125
14-04-2024,1.3000222
15-04-2024,1.2551386
16-04-2024,1.2375789
17-04-2024,1.207757
18-04-2024,1.173233
19-04-2024,1.1609873
20-04-2024,1.164458
21-04-2024,1.1674525
22-04-2024,1.1375431
23-04-2024,1.1365179
24-04-2024,1.1245239
25-04-2024,1.1088212
26-04-2024,1.1160617
27-04-2024,1.1393342
28-04-2024,1.1620802
29-04-2024,1.1514993
30-04-2024,1.1690053
01-05-2024,1.1743798
02-05-2024,1.1745325
03-05-2024,1.1957898
04-05-2024,1.2309458
05-05-2024,1.2631875
06-05-2024,1.2595055
07-05-2024,1.281157
08-05-2024,1.2878237
09-05-2024,1.2863767
10-05-2024,1.3031673
11-05-2024,1.3310795
12-05-2024,1.3534542
13-05-2024,1.3375002
14-05-2024,1.3447521
15-05-2024,1.3352244
16-05-2024,1.3161708
17-05-2024,1.3143668
18-05-2024,1.3231552
19-05-2024,1.3263593
20-05-2024,1.2916846
21-05-2024,1.2811655
22-05-2024,1.2553086
23-05-2024,1.2218401
24-05-2024,1.2079782
25-05-2024,1.2074664
26-05-2024,1.2044784
27-05-2024,1.1670096
28-05-2024,1.1573166
29-05-2024,1.1360534
30-05-2024,1.1110151
31-05-2024,1.109405
01-06-2024,1.1248693
02-06-2024,1.1414012
03-06-2024,1.1267345
04-06-2024,1.142789
05-06-2024,1.1498125
06-06-2024,1.1551319
07-06-2024,1.1854326
08-06-2024,1.2338006
09-06-2024,1.2836428
10-06-2024,1.3020912
11-06-2024,1.3504633
12-06-2024,1.388418
13-06-2024,1.4227207
14-06-2024,1.4795362
15-06-2024,1.5514846
16-06-2024,1.6215721
17-06-2024,1.6566069
18-06-2024,1.7176684
19-06-2024,1.7642691
20-06-2024,1.8031259
21-06-2024,1.8604554
22-06-2024,1.9290295
23-06-2024,1.9921051
24-06-2024,2.0168352
25-06-2024,2.0647311
26-06-2024,2.0958164
27-06-2024,2.1173868
28-06-2024,2.1562917
29-06-2024,2.2059777
30-06-2024,2.2504003
01-07-2024,2.2574217
02-07-2024,2.2892532
03-07-2024,2.3065937
04-07-2024,2.3173723
05-07-2024,2.349015
06-07-2024,2.3954716
07-07-2024,2.4411156
08-07-2024,2.4541273
09-07-2024,2.4969301
10-07-2024,2.5303195
11-07-2024,2.5622
12-07-2024,2.6198514
13-07-2024,2.6969545
14-07-2024,2.7774944
15-07-2024,2.8291512
16-07-2024,2.9137414
17-07-2024,2.9913602
18-07-2024,3.069132
19-07-2024,3.173489
20-07-2024,3.297216
21-07-2024,3.4233704
22-07-2024,3.5186913
23-07-2024,3.644062
24-07-2024,3.7586691
25-07-2024,3.8687737
26-07-2024,4.000006
27-07-2024,4.1444297
28-07-2024,4.284475
29-07-2024,4.386361
30-07-2024,4.5105715
31-07-2024,4.6160192
01-08-2024,4.7088265
02-08-2024,4.8146214
03-08-2024,4.9256024
04-08-2024,5.0244684
05-08-2024,5.0778394
06-08-2024,5.1467195
07-08-2024,5.190654
08-08-2024,5.216497
09-08-2024,5.2506933
10-08-2024,5.286327
11-08-2024,5.3070345
12-08-2024,5.280405
13-08-2024,5.2684293
14-08-2024,5.2316356
15-08-2024,5.1778383
16-08-2024,5.134405
17-08-2024,5.0952864
18-08-2024,5.0449157
19-08-2024,4.9515977
20-08-2024,4.8779426
21-08-2024,4.7849965
22-08-2024,4.6809826
23-08-2024,4.5935636
24-08-2024,4.51687
25-08-2024,4.4354033
26-08-2024,4.317422
27-08-2024,4.2253876
28-08-2024,4.1200995
29-08-2024,4.009445
30-08-2024,3.9206748
31-08-2024,3.8474398
01-09-2024,3.7737112
02-09-2024,3.6671798
03-09-2024,3.589713
04-09-2024,3.5015066
