Date,Discharge
01-01-2024,2133.45
02-01-2024,2140.8435
03-01-2024,2126.6638
04-01-2024,2100.0325
05-01-2024,2100.153
06-01-2024,2123.0933
07-01-2024,2136.314
08-01-2024,2098.2305
09-01-2024,2095.642
10-01-2024,2072.1006
11-01-2024,2036.9087
12-01-2024,2029.4366
13-01-2024,2045.9001
14-01-2024,2053.8875
15-01-2024,2011.9167
16-01-2024,2006.8638
17-01-2024,1982.3296
18-01-2024,1947.636
19-01-2024,1942.1439
20-01-2024,1962.0305
21-01-2024,1974.818
22-01-2024,1938.9323
23-01-2024,1941.1322
24-01-2024,1924.8811
25-01-2024,1899.3445
26-01-2024,1903.7126
27-01-2024,1933.9807
28-01-2024,1957.4816
29-01-2024,1932.4489
30-01-2024,1945.45
31-01-2024,1939.7611
01-02-2024,1924.3695
02-02-2024,1938.2986
03-02-2024,1977.3917
04-02-2024,2008.8473
05-02-2024,1990.7852
06-02-2024,2009.6799
07-02-2024,2008.739
08-02-2024,1996.9042
09-02-2024,2013.1782
10-02-2024,2053.4082
11-02-2024,2084.82
12-02-2024,2065.5835
13-02-2024,2082.2446
14-02-2024,2078.1018
15-02-2024,2062.2048
16-02-2024,2073.6797
17-02-2024,2108.5088
18-02-2024,2134.063
19-02-2024,2108.663
20-02-2024,2119.0107
21-02-2024,2108.559
22-02-2024,2086.5117
23-02-2024,2092.1418
24-02-2024,2121.5715
25-02-2024,2142.3003
26-02-2024,2112.765
27-02-2024,2119.7664
28-02-2024,2106.841
29-02-2024,2083.2551
01-03-2024,2088.325
02-03-2024,2118.1934
03-03-2024,2140.3584
04-03-2024,2113.2317
05-03-2024,2123.5671
06-03-2024,2114.83
07-03-2024,2096.1943
08-03-2024,2106.8625
09-03-2024,2142.844
10-03-2024,2171.4856
11-03-2024,2151.0327
12-03-2024,2168.0586
13-03-2024,2165.8386
14-03-2024,2153.3496
15-03-2024,2169.5935
16-03-2024,2210.379
17-03-2024,2242.8564
18-03-2024,2225.083
19-03-2024,2243.4558
20-03-2024,2241.0908
21-03-2024,2226.826
22-03-2024,2239.5479
23-03-2024,2274.979
24-03-2024,2300.2148
25-03-2024,2273.2908
26-03-2024,2280.6204
27-03-2024,2265.374
28-03-2024,2236.4832
29-03-2024,2232.9695
30-03-2024,2250.7288
31-03-2024,2257.0688
01-04-2024,2210.2747
02-04-2024,2197.0413
03-04-2024,2160.851
04-04-2024,2110.9722
05-04-2024,2086.7817
06-04-2024,2084.5454
07-04-2024,2071.9458
08-04-2024,2007.6422
09-04-2024,1978.6958
10-04-2024,1928.9373
11-04-2024,1867.9591
12-04-2024,1835.4303
13-04-2024,1827.8674
14-04-2024,1813.1578
15-04-2024,1750.1113
16-04-2024,1725.8807
17-04-2024,1684.3246
18-04-2024,1634.997
19-04-2024,1617.4584
20-04-2024,1628.0491
21-04-2024,1634.4104
22-04-2024,1595.0408
23-04-2024,1596.7196
24-04-2024,1582.8761
25-04-2024,1562.5852
26-04-2024,1574.8889
27-04-2024,1615.5767
28-04-2024,1651.7198
29-04-2024,1641.2379
30-04-2024,1670.3353
01-05-2024,1681.883
02-05-2024,1684.4269
03-05-2024,1716.5204
04-05-2024,1773.5195
05-05-2024,1822.1265
06-05-2024,1819.9663
07-05-2024,1853.0331
08-05-2024,1864.078
09-05-2024,1861.6226
10-05-2024,1884.2964
11-05-2024,1927.631
12-05-2024,1958.6038
13-05-2024,1935.2107
14-05-2024,1943.9066
15-05-2024,1927.9857
16-05-2024,1896.5847
17-05-2024,1889.0087
18-05-2024,1901.5107
19-05-2024,1901.8217
20-05-2024,1848.706
21-05-2024,1829.386
22-05-2024,1787.904
23-05-2024,1734.1095
24-05-2024,1707.9673
25-05-2024,1706.3217
26-05-2024,1697.4113
27-05-2024,1640.4119
28-05-2024,1622.8497
29-05-2024,1588.955
30-05-2024,1548.6412
31-05-2024,1541.8121
01-06-2024,1565.123
02-06-2024,1586.4988
03-06-2024,1564.6819
04-06-2024,1586.6531
05-06-2024,1595.996
06-06-2024,1601.8906
07-06-2024,1643.434
08-06-2024,1716.421
09-06-2024,1787.8804
10-06-2024,1815.6436
11-06-2024,1885.7859
12-06-2024,1941.0125
13-06-2024,1989.673
14-06-2024,2070.102
15-06-2024,2177.4187
16-06-2024,2278.0793
17-06-2024,2329.4622
18-06-2024,2417.3198
19-06-2024,2484.1755
20-06-2024,2538.3425
21-06-2024,2618.2688
22-06-2024,2719.3352
23-06-2024,2808.4045
24-06-2024,2843.3977
25-06-2024,2910.7358
26-06-2024,2953.7224
27-06-2024,2981.5452
28-06-2024,3033.6016
29-06-2024,3106.276
30-06-2024,3167.464
01-07-2024,3176.1272
02-07-2024,3219.7073
03-07-2024,3242.485
04-07-2024,3254.5596
05-07-2024,3296.1482
06-07-2024,3364.344
07-07-2024,3427.6226
08-07-2024,3445.3765
09-07-2024,3505.3215
10-07-2024,3551.842
11-07-2024,3594.9658
12-07-2024,3674.662
13-07-2024,3787.6006
14-07-2024,3901.6628
15-07-2024,3975.4885
16-07-2024,4095.8928
17-07-2024,4206.23
18-07-2024,4315.387
19-07-2024,4462.1045
20-07-2024,4641.7583
21-07-2024,4820.899
22-07-2024,4956.8247
23-07-2024,5135.024
24-07-2024,5297.5703
25-07-2024,5452.137
26-07-2024,5636.3486
27-07-2024,5844.581
28-07-2024,6042.526
29-07-2024,6186.779
30-07-2024,6362.2954
31-07-2024,6510.8013
01-08-2024,6639.81
02-08-2024,6786.9805
03-08-2024,6946.9155
04-08-2024,7085.7217
05-08-2024,7160.589
06-08-2024,7257.236
07-08-2024,7318.301
08-08-2024,7352.3496
09-08-2024,7398.2017
10-08-2024,7451.715
11-08-2024,7480.315
12-08-2024,7442.552
13-08-2024,7425.5234
14-08-2024,7373.234
15-08-2024,7295.5806
16-08-2024,7232.6553
17-08-2024,7181.5093
18-08-2024,7110.6606
19-08-2024,6979.634
20-08-2024,6876.368
21-08-2024,6745.5674
22-08-2024,6597.6753
23-08-2024,6473.1763
24-08-2024,6369.353
25-08-2024,6254.802
26-08-2024,6088.973
27-08-2024,5959.5923
28-08-2024,5811.015
29-08-2024,5653.2188
30-08-2024,5526.1187
31-08-2024,5426.3433
01-09-2024,5321.7617
02-09-2024,5171.053
03-09-2024,5061.1333
04-09-2024,4935.5425
05-09-2024,4803.444
06-09-2024,4703.9624
07-09-2024,4632.974
08-09-2024,4557.6494
09-09-2024,4436.03
10-09-2024,4354.4717
11-09-2024,4256.0327
12-09-2024,4149.4854
13-09-2024,4073.6514
14-09-2024,4024.1924
15-09-2024,3968.156
16-09-2024,3863.5435
17-09-2024,3796.75
18-09-2024,3710.9446
19-09-2024,3615.0718
20-09-2024,3548.1787
21-09-2024,3506.195
22-09-2024,3456.4656
23-09-2024,3357.3088
24-09-2024,3295.445
25-09-2024,3214.366
26-09-2024,3123.3257
27-09-2024,3061.6594
28-09-2024,3025.5557
29-09-2024,2982.5813
30-09-2024,2891.237
01-10-2024,2838.3794
02-10-2024,2767.5898
03-10-2024,2688.1655
04-10-2024,2639.4373
05-10-2024,2617.546
06-10-2024,2589.9707
07-10-2024,2515.0867
08-10-2024,2479.5964
09-10-2024,2426.9014
10-10-2024,2366.1016
11-10-2024,2336.3203
12-10-2024,2333.4856
13-10-2024,2324.8662
14-10-2024,2268.6367
15-10-2024,2251.3118
16-10-2024,2216.1252
17-10-2024,2172.033
18-10-2024,2158.0398
19-10-2024,2169.985
20-10-2024,2175.0776
21-10-2024,2131.4626
22-10-2024,2125.6555
23-10-2024,2100.9172
24-10-2024,2066.2559
25-10-2024,2060.7505
26-10-2024,2080.3328
27-10-2024,2092.317
