Date,flood runoff
01-01-2024,2.2631943
02-01-2024,2.15793
03-01-2024,2.234362
04-01-2024,2.2255208
05-01-2024,2.2671852
06-01-2024,2.3264756
07-01-2024,2.3732805
08-01-2024,2.3624477
09-01-2024,2.2696977
10-01-2024,2.356381
11-01-2024,2.355179
12-01-2024,2.4016016
13-01-2024,2.46259
14-01-2024,2.5079465
15-01-2024,2.4925292
16-01-2024,2.3921661
17-01-2024,2.4684076
18-01-2024,2.4542232
19-01-2024,2.4854872
20-01-2024,2.529574
21-01-2024,2.5567703
22-01-2024,2.5224595
23-01-2024,2.403016
24-01-2024,2.4605422
25-01-2024,2.4285474
26-01-2024,2.4434202
27-01-2024,2.4730027
28-01-2024,2.487994
29-01-2024,2.4441178
30-01-2024,2.318008
31-01-2024,2.371939
01-02-2024,2.3394985
02-02-2024,2.3570569
03-02-2024,2.3923438
04-02-2024,2.4158542
05-02-2024,2.3830233
06-02-2024,2.270121
07-02-2024,2.3389933
08-02-2024,2.3227491
09-02-2024,2.3572426
10-02-2024,2.4096696
11-02-2024,2.4499862
12-02-2024,2.4331021
13-02-2024,2.3347921
14-02-2024,2.4164505
15-02-2024,2.410793
16-02-2024,2.4533527
17-02-2024,2.5110822
18-02-2024,2.5537827
19-02-2024,2.5363014
20-02-2024,2.4344437
21-02-2024,2.5097268
22-02-2024,2.4950786
23-02-2024,2.5263238
24-02-2024,2.5707812
25-02-2024,2.5986774
26-02-2024,2.5653324
27-02-2024,2.4470565
28-02-2024,2.5058887
29-02-2024,2.4752781
01-03-2024,2.4915555
02-03-2024,2.5225117
03-03-2024,2.538801
04-03-2024,2.496109
05-03-2024,2.3710406
06-03-2024,2.4258487
07-03-2024,2.3941085
08-03-2024,2.412186
09-03-2024,2.447814
10-03-2024,2.4714987
11-03-2024,2.4386914
12-03-2024,2.325684
13-03-2024,2.3943474
14-03-2024,2.377818
15-03-2024,2.4119794
16-03-2024,2.4640555
17-03-2024,2.5040288
18-03-2024,2.4868336
19-03-2024,2.3882642
20-03-2024,2.4697306
21-03-2024,2.4639597
22-03-2024,2.5064883
23-03-2024,2.5642688
24-03-2024,2.6070964
25-03-2024,2.589807
26-03-2024,2.4881897
27-03-2024,2.5637429
28-03-2024,2.5493715
29-03-2024,2.5808783
30-03-2024,2.6255565
31-03-2024,2.6536105
01-04-2024,2.6203392
02-04-2024,2.5020351
03-04-2024,2.5607238
04-04-2024,2.5298452
05-04-2024,2.5457275
06-04-2024,2.5761652
07-04-2024,2.591821
08-04-2024,2.5483963
09-04-2024,2.4225183
10-04-2024,2.4764655
11-04-2024,2.4438443
12-04-2024,2.4610546
13-04-2024,2.4958658
14-04-2024,2.5188203
