Date,weekly runoff
01-01-2024,10.214457
02-01-2024,10.244212
03-01-2024,10.277185
04-01-2024,10.301129
05-01-2024,10.318888
06-01-2024,10.3302145
07-01-2024,10.334814
08-01-2024,10.323965
09-01-2024,10.310122
10-01-2024,10.297361
11-01-2024,10.274362
12-01-2024,10.244935
13-01-2024,10.209824
14-01-2024,10.169714
15-01-2024,10.116839
16-01-2024,10.064558
17-01-2024,10.017777
18-01-2024,9.965916
19-01-2024,9.913415
20-01-2024,9.861523
21-01-2024,9.811298
22-01-2024,9.755201
23-01-2024,9.706676
24-01-2024,9.670558
25-01-2024,9.636055
26-01-2024,9.607256
27-01-2024,9.584925
28-01-2024,9.569522
29-01-2024,9.552798
30-01-2024,9.547405
31-01-2024,9.55732
01-02-2024,9.570841
02-02-2024,9.591119
03-02-2024,9.617975
04-02-2024,9.650938
05-02-2024,9.680866
06-02-2024,9.719565
07-02-2024,9.770243
08-02-2024,9.820507
09-02-2024,9.872922
10-02-2024,9.926832
11-02-2024,9.981405
12-02-2024,10.027263
13-02-2024,10.076101
14-02-2024,10.131142
15-02-2024,10.180134
16-02-2024,10.225899
17-02-2024,10.268146
18-02-2024,10.306512
19-02-2024,10.332174
20-02-2024,10.35746
21-02-2024,10.386283
22-02-2024,10.407127
23-02-2024,10.423579
24-02-2024,10.436128
25-02-2024,10.445177
26-02-2024,10.442656
27-02-2024,10.4416065
28-02-2024,10.446604
29-02-2024,10.44673
01-03-2024,10.446087
02-03-2024,10.445594
03-03-2024,10.445991
04-03-2024,10.43943
05-03-2024,10.439071
06-03-2024,10.44949
07-03-2024,10.459654
08-03-2024,10.473439
09-03-2024,10.49142
10-03-2024,10.513885
11-03-2024,10.532438
12-03-2024,10.559593
13-03-2024,10.599198
14-03-2024,10.639422
15-03-2024,10.683285
16-03-2024,10.730462
17-03-2024,10.780317
18-03-2024,10.823519
19-03-2024,10.871653
20-03-2024,10.927666
21-03-2024,10.978871
22-03-2024,11.027496
23-03-2024,11.072504
24-03-2024,11.112647
25-03-2024,11.138096
26-03-2024,11.16007
27-03-2024,11.181297
28-03-2024,11.189023
29-03-2024,11.185573
30-03-2024,11.170183
31-03-2024,11.142052
01-04-2024,11.091972
02-04-2024,11.0319605
03-04-2024,10.965702
04-04-2024,10.881564
05-04-2024,10.783134
06-04-2024,10.671037
07-04-2024,10.545961
08-04-2024,10.400275
09-04-2024,10.247625
10-04-2024,10.093353
11-04-2024,9.927477
12-04-2024,9.755193
13-04-2024,9.578667
14-04-2024,9.400024
15-04-2024,9.212926
16-04-2024,9.0321455
17-04-2024,8.863946
18-04-2024,8.699039
19-04-2024,8.543067
20-04-2024,8.398363
21-04-2024,8.266938
22-04-2024,8.142042
23-04-2024,8.037736
24-04-2024,7.959278
25-04-2024,7.8960857
26-04-2024,7.8522377
27-04-2024,7.8282566
28-04-2024,7.8241196
29-04-2024,7.830866
30-04-2024,7.8601956
01-05-2024,7.914911
02-05-2024,7.981922
03-05-2024,8.062805
04-05-2024,8.155632
05-05-2024,8.258047
06-05-2024,8.358912
07-05-2024,8.467974
08-05-2024,8.586345
09-05-2024,8.699559
10-05-2024,8.808162
11-05-2024,8.909584
12-05-2024,9.001234
13-05-2024,9.072167
14-05-2024,9.132755
15-05-2024,9.185169
16-05-2024,9.21642
17-05-2024,9.228934
18-05-2024,9.222387
19-05-2024,9.196763
20-05-2024,9.143969
21-05-2024,9.077453
22-05-2024,9.00262
23-05-2024,8.909804
24-05-2024,8.804776
25-05-2024,8.690496
26-05-2024,8.570101
27-05-2024,8.438444
28-05-2024,8.311641
29-05-2024,8.197423
30-05-2024,8.088049
31-05-2024,7.9907484
01-06-2024,7.9094524
02-06-2024,7.8477325
03-06-2024,7.8003297
04-06-2024,7.782686
05-06-2024,7.801308
06-06-2024,7.84669
07-06-2024,7.923799
08-06-2024,8.033837
09-06-2024,8.177242
10-06-2024,8.345283
11-06-2024,8.549663
12-06-2024,8.792964
13-06-2024,9.061667
14-06-2024,9.356722
15-06-2024,9.675405
16-06-2024,10.014414
17-06-2024,10.361557
18-06-2024,10.725439
19-06-2024,11.105987
20-06-2024,11.487536
