Date,Discharge
01-01-2024,406.72543
02-01-2024,397.18326
03-01-2024,385.69717
04-01-2024,381.13135
05-01-2024,385.67416
06-01-2024,386.9319
07-01-2024,391.43372
08-01-2024,397.28885
09-01-2024,394.48178
10-01-2024,390.06723
11-01-2024,392.75723
12-01-2024,404.57443
13-01-2024,412.95004
14-01-2024,424.23352
15-01-2024,436.35507
16-01-2024,439.12573
17-01-2024,439.43753
18-01-2024,445.856
19-01-2024,460.27768
20-01-2024,470.0327
21-01-2024,481.3978
22-01-2024,492.2614
23-01-2024,492.426
24-01-2024,488.8093
25-01-2024,490.03635
26-01-2024,498.09647
27-01-2024,500.44354
28-01-2024,503.5063
29-01-2024,505.34955
30-01-2024,495.972
31-01-2024,482.50223
01-02-2024,473.78516
02-02-2024,472.03317
03-02-2024,464.92004
04-02-2024,459.08545
05-02-2024,452.79025
06-02-2024,436.2091
07-02-2024,416.62137
08-02-2024,402.99387
09-02-2024,397.62854
10-02-2024,388.25415
11-02-2024,381.52966
12-02-2024,375.69955
13-02-2024,360.8868
14-02-2024,344.2865
15-02-2024,334.75095
16-02-2024,334.4415
17-02-2024,330.92493
18-02-2024,330.68185
19-02-2024,331.76782
20-02-2024,324.11255
21-02-2024,314.7192
22-02-2024,312.2557
23-02-2024,318.7123
24-02-2024,321.50296
25-02-2024,326.9784
26-02-2024,333.09103
27-02-2024,329.69672
28-02-2024,323.75626
29-02-2024,323.92725
01-03-2024,332.22122
02-03-2024,336.10373
03-03-2024,342.005
04-03-2024,347.98114
05-03-2024,344.012
06-03-2024,337.19742
07-03-2024,336.3437
08-03-2024,343.61487
09-03-2024,346.62686
10-03-2024,351.95203
11-03-2024,357.77487
12-03-2024,354.18448
13-03-2024,348.36642
14-03-2024,349.18515
15-03-2024,358.83276
16-03-2024,364.92117
17-03-2024,373.98602
18-03-2024,384.143
19-03-2024,385.3821
20-03-2024,384.7621
21-03-2024,390.99713
22-03-2024,406.11008
23-03-2024,417.53052
24-03-2024,431.60483
25-03-2024,446.25925
26-03-2024,451.30087
27-03-2024,453.61905
28-03-2024,461.7785
29-03-2024,477.6787
30-03-2024,488.65723
31-03-2024,501.00436
01-04-2024,512.62933
02-04-2024,513.3635
03-04-2024,510.16266
04-04-2024,511.69937
05-04-2024,520.0204
06-04-2024,522.6467
07-04-2024,526.0834
08-04-2024,528.47974
09-04-2024,519.926
10-04-2024,507.64737
11-04-2024,500.5885
12-04-2024,501.06177
13-04-2024,496.8389
14-04-2024,494.65186
15-04-2024,492.8454
16-04-2024,481.66602
17-04-2024,468.4498
18-04-2024,462.20203
19-04-2024,465.24167
20-04-2024,465.2911
21-04-2024,468.9767
22-04-2024,474.483
23-04-2024,471.8448
24-04-2024,468.14017
25-04-2024,472.07666
26-04-2024,485.64407
27-04-2024,496.2133
28-04-2024,510.04764
29-04-2024,524.96783
30-04-2024,530.65594
01-05-2024,533.8595
02-05-2024,542.9892
03-05-2024,559.7824
04-05-2024,571.4109
05-05-2024,584.0011
06-05-2024,595.3052
07-05-2024,595.0093
08-05-2024,589.9413
09-05-2024,588.66766
10-05-2024,593.1554
11-05-2024,590.8756
12-05-2024,588.3165
13-05-2024,583.64636
14-05-2024,567.0108
15-05-2024,545.7277
16-05-2024,528.8709
17-05-2024,518.9165
18-05-2024,503.83206
19-05-2024,490.5732
20-05-2024,477.73166
21-05-2024,455.81805
22-05-2024,432.4437
23-05-2024,416.8924
24-05-2024,411.75793
25-05-2024,405.02545
26-05-2024,403.5644
27-05-2024,405.77457
28-05-2024,401.87112
29-05-2024,399.07098
30-05-2024,406.17258
31-05-2024,425.20444
01-06-2024,443.5202
02-06-2024,467.30792
03-06-2024,494.25452
04-06-2024,513.8509
05-06-2024,532.5993
06-06-2024,558.6156
07-06-2024,593.2988
08-06-2024,623.4482
09-06-2024,654.7923
10-06-2024,684.6718
11-06-2024,702.36017
12-06-2024,714.28455
13-06-2024,728.637
14-06-2024,747.05066
15-06-2024,756.7177
16-06-2024,763.91656
17-06-2024,766.68774
18-06-2024,755.1432
19-06-2024,736.67224
20-06-2024,720.53314
21-06-2024,709.5066
22-06-2024,691.9879
23-06-2024,675.4855
24-06-2024,659.2662
25-06-2024,634.6337
26-06-2024,610.1017
27-06-2024,595.9541
28-06-2024,595.8681
29-06-2024,598.9777
30-06-2024,613.34644
01-07-2024,638.5902
02-07-2024,666.1373
03-07-2024,704.388
04-07-2024,763.2663
05-07-2024,845.8398
06-07-2024,940.3856
07-07-2024,1053.8717
08-07-2024,1184.5936
09-07-2024,1322.4542
10-07-2024,1474.1482
11-07-2024,1647.7427
12-07-2024,1844.3318
13-07-2024,2050.139
14-07-2024,2270.0386
15-07-2024,2500.2341
16-07-2024,2728.5823
17-07-2024,2959.816
18-07-2024,3200.1719
19-07-2024,3449.081
20-07-2024,3691.31
21-07-2024,3930.515
22-07-2024,4161.9487
23-07-2024,4372.807
24-07-2024,4567.4746
25-07-2024,4752.157
26-07-2024,4926.5825
27-07-2024,5076.1377
28-07-2024,5205.417
29-07-2024,5310.911
30-07-2024,5381.3364
31-07-2024,5422.8516
01-08-2024,5443.6587
02-08-2024,5445.667
03-08-2024,5416.593
04-08-2024,5363.458
05-08-2024,5285.243
06-08-2024,5173.1626
07-08-2024,5035.8384
08-08-2024,4883.8564
09-08-2024,4721.3877
10-08-2024,4538.2446
11-08-2024,4343.3486
12-08-2024,4137.3438
13-08-2024,3912.852
14-08-2024,3679.6206
15-08-2024,3449.0662
16-08-2024,3225.8835
17-08-2024,3000.1025
18-08-2024,2780.556
19-08-2024,2567.5051
20-08-2024,2352.9084
21-08-2024,2145.5916
22-08-2024,1955.8152
23-08-2024,1786.9144
24-08-2024,1627.3867
25-08-2024,1484.3981
26-08-2024,1356.4445
27-08-2024,1233.6578
28-08-2024,1123.0144
29-08-2024,1032.9406
30-08-2024,964.98755
31-08-2024,905.95215
01-09-2024,861.41235
02-09-2024,828.41675
03-09-2024,795.8109
04-09-2024,769.4651
05-09-2024,756.8923
06-09-2024,758.9306
07-09-2024,761.86835
08-09-2024,770.97754
09-09-2024,783.1971
10-09-2024,787.4496
11-09-2024,789.8543
12-09-2024,798.3286
13-09-2024,814.2495
14-09-2024,824.55743
15-09-2024,835.2657
16-09-2024,844.11896
17-09-2024,840.88586
18-09-2024,832.5479
19-09-2024,827.87714
20-09-2024,829.0769
21-09-2024,823.86566
22-09-2024,818.96936
23-09-2024,812.7663
24-09-2024,795.568
25-09-2024,774.80023
26-09-2024,759.57605
27-09-2024,752.335
28-09-2024,740.92816
29-09-2024,732.11536
30-09-2024,724.2165
01-10-2024,707.40216
02-10-2024,688.88556
03-10-2024,677.5081
04-10-2024,675.3927
05-10-2024,670.0425
06-10-2024,667.8531
07-10-2024,666.7775
08-10-2024,656.6304
09-10-2024,644.2923
10-10-2024,638.30634
11-10-2024,640.5403
12-10-2024,638.29333
13-10-2024,637.81305
14-10-2024,636.9641
15-10-2024,625.5336
16-10-2024,610.43414
17-10-2024,600.2979
18-10-2024,597.13416
19-10-2024,588.4296
20-10-2024,580.6583
21-10-2024,571.9415
22-10-2024,552.3438
23-10-2024,529.06665
24-10-2024,511.0328
25-10-2024,500.53424
26-10-2024,485.3236
27-10-2024,472.11588
28-10-2024,459.24103
29-10-2024,436.9343
30-10-2024,412.5252
31-10-2024,395.01855
01-11-2024,386.74103
02-11-2024,375.43234
