Date,flood runoff
01-01-2024,0.025075896
02-01-2024,0.03669011
03-01-2024,0.057216916
04-01-2024,0.041194055
05-01-2024,0.06271287
06-01-2024,0.08110088
07-01-2024,0.071665876
08-01-2024,0.05221755
09-01-2024,0.068619765
10-01-2024,0.092886195
11-01-2024,0.07943891
12-01-2024,0.102291495
13-01-2024,0.1207339
14-01-2024,0.11007759
15-01-2024,0.08817693
16-01-2024,0.10097977
17-01-2024,0.12062036
18-01-2024,0.10167391
19-01-2024,0.11833463
20-01-2024,0.13009484
21-01-2024,0.11248354
22-01-2024,0.0835807
23-01-2024,0.089560725
24-01-2024,0.10277803
25-01-2024,0.07801465
26-01-2024,0.08965165
27-01-2024,0.09734225
28-01-2024,0.076745376
29-01-2024,0.046035804
30-01-2024,0.051444672
31-01-2024,0.06534329
01-02-2024,0.04249022
02-02-2024,0.05720356
03-02-2024,0.06903613
04-02-2024,0.053512156
05-02-2024,0.028641932
06-02-2024,0.040467482
07-02-2024,0.06115251
08-02-2024,0.045236114
09-02-2024,0.066812135
10-02-2024,0.08521147
11-02-2024,0.07574595
12-02-2024,0.056229733
13-02-2024,0.07253132
14-02-2024,0.09666905
15-02-2024,0.0830695
16-02-2024,0.10575046
17-02-2024,0.12400572
18-02-2024,0.11315021
19-02-2024,0.09104131
20-02-2024,0.10362956
21-02-2024,0.12305158
22-02-2024,0.10388469
23-02-2024,0.12032523
24-02-2024,0.13186756
25-02-2024,0.11404284
26-02-2024,0.08493352
27-02-2024,0.09071674
28-02-2024,0.10375003
29-02-2024,0.07881889
01-03-2024,0.09030827
02-03-2024,0.09787558
03-03-2024,0.077184096
04-03-2024,0.046413068
05-03-2024,0.05179799
06-03-2024,0.06571421
07-03-2024,0.04292382
08-03-2024,0.057747666
09-03-2024,0.06974033
10-03-2024,0.05442661
11-03-2024,0.029815922
12-03-2024,0.04194788
13-03-2024,0.062982075
14-03-2024,0.047451764
15-03-2024,0.06944321
16-03-2024,0.08827809
17-03-2024,0.07925751
18-03-2024,0.060183622
19-03-2024,0.076911956
20-03-2024,0.101447225
21-03-2024,0.08820218
22-03-2024,0.11118101
23-03-2024,0.1296647
24-03-2024,0.118956536
25-03-2024,0.09690399
26-03-2024,0.10944985
27-03-2024,0.12872562
28-03-2024,0.10930654
29-03-2024,0.12539
30-03-2024,0.13647497
31-03-2024,0.11810072
01-04-2024,0.08836128
02-04-2024,0.09344874
03-04-2024,0.10573865
04-04-2024,0.08003715
05-04-2024,0.090751976
06-04-2024,0.09756483
07-04-2024,0.07616405
08-04-2024,0.044753976
09-04-2024,0.049594317
10-04-2024,0.06308298
11-04-2024,0.040002078
12-04-2024,0.054689154
13-04-2024,0.06671139
14-04-2024,0.051601462
15-04-2024,0.02737143
16-04-2024,0.04005794
17-04-2024,0.061811753
18-04-2024,0.04715148
19-04-2024,0.07014303
20-04-2024,0.09008239
21-04-2024,0.08224027
22-04-2024,0.06438438
23-04-2024,0.08233271
24-04-2024,0.10805045
25-04-2024,0.09590999
26-04-2024,0.11987563
27-04-2024,0.13919024
28-04-2024,0.12912211
29-04-2024,0.107488185
30-04-2024,0.12020643
01-05-2024,0.13939026
02-05-2024,0.11960451
03-05-2024,0.13504472
04-05-2024,0.14521687
05-05-2024,0.12567644
06-05-2024,0.09454281
07-05-2024,0.09804216
08-05-2024,0.10859223
09-05-2024,0.081048496
10-05-2024,0.089873895
11-05-2024,0.09480975
12-05-2024,0.071606666
13-05-2024,0.038532052
14-05-2024,0.041907467
15-05-2024,0.054189328
16-05-2024,0.030212842
17-05-2024,0.044361256
18-05-2024,0.056238122
19-05-2024,0.04140152
20-05-2024,0.017876476
21-05-2024,0.031699087
22-05-2024,0.055005353
23-05-2024,0.042284545
24-05-2024,0.067558855
25-05-2024,0.090066776
26-05-2024,0.085008755
27-05-2024,0.07007118
28-05-2024,0.09098152
29-05-2024,0.119607694
30-05-2024,0.11022083
31-05-2024,0.136683
01-06-2024,0.15813713
02-06-2024,0.14975722
03-06-2024,0.12927498
04-06-2024,0.14253543
05-06-2024,0.16159452
06-06-2024,0.1409779
07-06-2024,0.15486258
08-06-2024,0.16275866
09-06-2024,0.1402497
10-06-2024,0.10550778
11-06-2024,0.10483645
12-06-2024,0.11075457
13-06-2024,0.07824101
14-06-2024,0.08190198
15-06-2024,0.08163876
16-06-2024,0.05337485
17-06-2024,0.015558819
18-06-2024,0.014696689
19-06-2024,0.023427026
20-06-2024,0.003240995
21-06-2024,0.009235546
22-06-2024,0.020599497
23-06-2024,0.006521836
24-06-2024,0.014891571
25-06-2024,0.002438897
26-06-2024,0.030650914
27-06-2024,0.024189765
28-06-2024,0.05698519
29-06-2024,0.088133
30-06-2024,0.09264019
01-07-2024,0.08794962
02-07-2024,0.11949719
03-07-2024,0.15881465
04-07-2024,0.15979704
05-07-2024,0.19589658
06-07-2024,0.22581969
07-07-2024,0.22428581
08-07-2024,0.20856324
09-07-2024,0.22403502
10-07-2024,0.24230738
11-07-2024,0.21747956
12-07-2024,0.2233368
13-07-2024,0.21904346
14-07-2024,0.17989397
15-07-2024,0.123838186
16-07-2024,0.09703365
17-07-2024,0.071937494
18-07-2024,0.00355795
19-07-2024,0.033373237
20-07-2024,0.07872962
21-07-2024,0.15626153
22-07-2024,0.24709374
23-07-2024,0.30419576
24-07-2024,0.3543116
25-07-2024,0.4417284
26-07-2024,0.49112263
27-07-2024,0.5419042
28-07-2024,0.61750114
29-07-2024,0.69886696
30-07-2024,0.7389571
31-07-2024,0.76466095
01-08-2024,0.8205697
02-08-2024,0.8318166
03-08-2024,0.8384133
04-08-2024,0.8645216
05-08-2024,0.8919456
06-08-2024,0.8745897
07-08-2024,0.84037006
08-08-2024,0.83495986
09-08-2024,0.78460556
10-08-2024,0.73043853
11-08-2024,0.6977218
12-08-2024,0.66931796
13-08-2024,0.6001237
14-08-2024,0.5189596
15-08-2024,0.47229528
16-08-2024,0.38704947
