Date,weekly runoff
01-01-2024,3.3082552
02-01-2024,3.2731798
03-01-2024,3.2483656
04-01-2024,3.2262633
05-01-2024,3.209799
06-01-2024,3.20009
07-01-2024,3.197554
08-01-2024,3.2028887
09-01-2024,3.212313
10-01-2024,3.2354357
11-01-2024,3.2639968
12-01-2024,3.3000736
13-01-2024,3.3438115
14-01-2024,3.394554
15-01-2024,3.4518464
16-01-2024,3.5107074
17-01-2024,3.5795293
18-01-2024,3.6488535
19-01-2024,3.719612
20-01-2024,3.7908933
21-01-2024,3.861107
22-01-2024,3.929019
23-01-2024,3.9890506
24-01-2024,4.0492034
25-01-2024,4.099852
26-01-2024,4.1419992
27-01-2024,4.175046
28-01-2024,4.197955
29-01-2024,4.2102804
30-01-2024,4.2074456
31-01-2024,4.1986513
01-02-2024,4.175639
02-02-2024,4.1409116
03-02-2024,4.095465
04-02-2024,4.039914
05-02-2024,3.975473
06-02-2024,3.8991952
07-02-2024,3.8218346
08-02-2024,3.7365668
09-02-2024,3.6471713
10-02-2024,3.5557313
11-02-2024,3.4637268
12-02-2024,3.3729935
13-02-2024,3.2809494
14-02-2024,3.1984434
15-02-2024,3.11848
16-02-2024,3.0444076
17-02-2024,2.9776337
18-02-2024,2.9187396
19-02-2024,2.868471
20-02-2024,2.8229954
21-02-2024,2.7917948
22-02-2024,2.7664282
23-02-2024,2.7487688
24-02-2024,2.7387617
25-02-2024,2.7355847
26-02-2024,2.7386806
27-02-2024,2.7430546
28-02-2024,2.7571983
29-02-2024,2.771884
01-03-2024,2.7884188
02-03-2024,2.8064196
03-03-2024,2.8249786
04-03-2024,2.8436918
05-03-2024,2.8579476
06-03-2024,2.8768313
07-03-2024,2.8918948
08-03-2024,2.9053779
09-03-2024,2.9179482
10-03-2024,2.9298224
11-03-2024,2.9417531
12-03-2024,2.9502718
13-03-2024,2.9655485
14-03-2024,2.9801183
15-03-2024,2.9970639
16-03-2024,3.0177186
17-03-2024,3.0427604
18-03-2024,3.073177
19-03-2024,3.1054938
20-03-2024,3.1496277
21-03-2024,3.1976175
22-03-2024,3.2518187
23-03-2024,3.3126256
24-03-2024,3.3795955
25-03-2024,3.4524493
26-03-2024,3.5263383
