Date,daily runoff
01-01-2024,1.6777165
02-01-2024,1.7066036
03-01-2024,1.7256968
04-01-2024,1.7473395
05-01-2024,1.759932
06-01-2024,1.7721655
07-01-2024,1.788112
08-01-2024,1.8002756
09-01-2024,1.8182658
10-01-2024,1.8267516
11-01-2024,1.8380183
12-01-2024,1.8403927
13-01-2024,1.8424802
14-01-2024,1.8482581
15-01-2024,1.8501308
16-01-2024,1.8576064
17-01-2024,1.8552552
18-01-2024,1.8552707
19-01-2024,1.8458978
20-01-2024,1.8356745
21-01-2024,1.8285282
22-01-2024,1.8168331
23-01-2024,1.8100911
24-01-2024,1.79289
25-01-2024,1.777466
26-01-2024,1.7521344
27-01-2024,1.7255285
28-01-2024,1.7016958
29-01-2024,1.6731548
30-01-2024,1.6495712
31-01-2024,1.6157149
01-02-2024,1.584019
02-02-2024,1.5430038
03-02-2024,1.5015143
04-02-2024,1.4638101
05-02-2024,1.4226165
06-02-2024,1.3877968
07-02-2024,1.344304
08-02-2024,1.3047342
09-02-2024,1.2577482
10-02-2024,1.2123024
11-02-2024,1.1727371
12-02-2024,1.1318246
13-02-2024,1.0994391
14-02-2024,1.0605079
15-02-2024,1.0275635
16-02-2024,0.9891664
17-02-2024,0.954138
18-02-2024,0.9266501
19-02-2024,0.89927655
20-02-2024,0.8816674
21-02-2024,0.85850346
22-02-2024,0.8420551
23-02-2024,0.82060874
24-02-2024,0.80270636
25-02-2024,0.7922411
26-02-2024,0.78151417
27-02-2024,0.7799152
28-02-2024,0.7718822
29-02-2024,0.7694651
01-03-2024,0.7607575
02-03-2024,0.7541392
03-03-2024,0.75337553
04-03-2024,0.7506765
05-03-2024,0.7553784
06-03-2024,0.7519043
07-03-2024,0.7523277
08-03-2024,0.744802
09-03-2024,0.73780227
10-03-2024,0.7352203
11-03-2024,0.72942084
12-03-2024,0.72991884
13-03-2024,0.72133493
14-03-2024,0.71595395
15-03-2024,0.7021494
16-03-2024,0.68861866
17-03-2024,0.6794739
18-03-2024,0.6672918
19-03-2024,0.6617866
20-03-2024,0.6477606
21-03-2024,0.637659
22-03-2024,0.6199906
23-03-2024,0.6035608
24-03-2024,0.59256035
25-03-2024,0.5796145
26-03-2024,0.5744552
27-03-2024,0.5618729
28-03-2024,0.5542724
29-03-2024,0.5400959
30-03-2024,0.5280589
31-03-2024,0.5222419
01-04-2024,0.515144
02-04-2024,0.5163589
03-04-2024,0.5105313
04-04-2024,0.5099171
05-04-2024,0.50281096
06-04-2024,0.49778652
07-04-2024,0.49879223
08-04-2024,0.49820822
09-04-2024,0.50552547
10-04-2024,0.5053049
11-04-2024,0.509739
12-04-2024,0.50708115
13-04-2024,0.5058858
14-04-2024,0.5101038
15-04-2024,0.51213896
16-04-2024,0.521525
17-04-2024,0.52288264
18-04-2024,0.5284785
19-04-2024,0.52665097
20-04-2024,0.52604705
21-04-2024,0.5307143
22-04-2024,0.5331528
23-04-2024,0.5429894
24-04-2024,0.5449299
25-04-2024,0.5513161
26-04-2024,0.5505474
27-04-2024,0.55131614
28-04-2024,0.557697
29-04-2024,0.5621979
30-04-2024,0.5744337
01-05-2024,0.5790783
02-05-2024,0.5884222
03-05-2024,0.5907959
04-05-2024,0.59480697
05-05-2024,0.60443187
06-05-2024,0.61207056
07-05-2024,0.62722254
08-05-2024,0.634444
09-05-2024,0.6459082
10-05-2024,0.64983356
11-05-2024,0.6547242
12-05-2024,0.6644658
13-05-2024,0.6713834
14-05-2024,0.68492085
15-05-2024,0.6895999
16-05-2024,0.697583
17-05-2024,0.69710255
18-05-2024,0.696702
19-05-2024,0.70033175
