Date,Discharge
01-01-2024,6057.469
02-01-2024,6153.4727
03-01-2024,6213.954
04-01-2024,6276.348
05-01-2024,6313.488
06-01-2024,6355.891
07-01-2024,6408.487
08-01-2024,6440.781
09-01-2024,6497.5786
10-01-2024,6520.736
11-01-2024,6547.429
12-01-2024,6550.165
13-01-2024,6559.08
14-01-2024,6578.675
15-01-2024,6578.004
16-01-2024,6601.4097
17-01-2024,6590.2905
18-01-2024,6581.3906
19-01-2024,6546.8223
20-01-2024,6516.382
21-01-2024,6494.3022
22-01-2024,6449.4478
23-01-2024,6426.064
24-01-2024,6365.551
25-01-2024,6304.758
26-01-2024,6216.0103
27-01-2024,6129.421
28-01-2024,6049.6416
29-01-2024,5946.051
30-01-2024,5863.4937
31-01-2024,5744.043
01-02-2024,5625.2803
02-02-2024,5480.3047
03-02-2024,5340.029
04-02-2024,5209.909
05-02-2024,5060.117
06-02-2024,4936.253
07-02-2024,4781.0967
08-02-2024,4632.8613
09-02-2024,4465.192
10-02-2024,4309.4424
11-02-2024,4171.3945
12-02-2024,4021.4158
13-02-2024,3905.1724
14-02-2024,3765.3672
15-02-2024,3639.9998
16-02-2024,3502.363
17-02-2024,3383.3274
18-02-2024,3288.0676
19-02-2024,3186.2344
20-02-2024,3122.6794
21-02-2024,3039.2122
22-02-2024,2972.8782
23-02-2024,2895.9744
24-02-2024,2838.3582
25-02-2024,2804.192
26-02-2024,2762.14
27-02-2024,2756.1106
28-02-2024,2727.0374
29-02-2024,2711.1724
01-03-2024,2680.1194
02-03-2024,2663.1555
03-03-2024,2663.9873
04-03-2024,2650.9563
05-03-2024,2667.7852
06-03-2024,2655.3591
07-03-2024,2650.0186
08-03-2024,2623.5876
09-03-2024,2605.6858
10-03-2024,2600.4739
11-03-2024,2576.846
12-03-2024,2579.1592
13-03-2024,2548.9988
14-03-2024,2523.4512
15-03-2024,2475.1135
16-03-2024,2434.3845
17-03-2024,2406.195
18-03-2024,2360.1753
19-03-2024,2341.374
20-03-2024,2292.0032
21-03-2024,2249.7
22-03-2024,2187.5247
23-03-2024,2136.2446
24-03-2024,2101.056
25-03-2024,2051.7522
26-03-2024,2033.4397
27-03-2024,1988.2891
28-03-2024,1953.8005
29-03-2024,1902.8108
30-03-2024,1865.787
31-03-2024,1847.5605
01-04-2024,1817.5099
02-04-2024,1820.2902
03-04-2024,1797.5986
04-04-2024,1786.4567
05-04-2024,1759.2297
06-04-2024,1745.9369
07-04-2024,1750.9961
08-04-2024,1743.4182
09-04-2024,1767.546
10-04-2024,1764.8271
11-04-2024,1772.1001
12-04-2024,1761.6176
13-04-2024,1763.354
14-04-2024,1781.7515
15-04-2024,1785.9061
16-04-2024,1820.3026
17-04-2024,1826.5771
18-04-2024,1841.7937
19-04-2024,1838.4568
20-04-2024,1846.8073
21-04-2024,1871.554
22-04-2024,1882.0509
23-04-2024,1923.0172
24-04-2024,1936.2908
25-04-2024,1959.0955
26-04-2024,1964.0435
27-04-2024,1981.4275
28-04-2024,2015.9467
29-04-2024,2036.8818
30-04-2024,2088.8171
01-05-2024,2113.3948
02-05-2024,2147.5876
03-05-2024,2163.7095
04-05-2024,2191.7146
05-05-2024,2235.9355
06-05-2024,2265.2693
07-05-2024,2323.9119
08-05-2024,2353.1277
09-05-2024,2389.5334
10-05-2024,2405.1233
11-05-2024,2429.5803
12-05-2024,2467.0254
13-05-2024,2486.215
14-05-2024,2531.2817
15-05-2024,2543.51
16-05-2024,2559.6255
17-05-2024,2551.8198
18-05-2024,2550.0618
19-05-2024,2558.842
20-05-2024,2547.3638
21-05-2024,2560.2769
22-05-2024,2539.441
23-05-2024,2522.2036
24-05-2024,2481.4106
25-05-2024,2447.702
26-05-2024,2426.2415
27-05-2024,2386.8918
28-05-2024,2374.9321
29-05-2024,2332.8079
30-05-2024,2298.3926
31-05-2024,2244.9883
01-06-2024,2203.6104
02-06-2024,2179.7085
03-06-2024,2143.3367
04-06-2024,2139.8677
05-06-2024,2111.741
06-06-2024,2096.7295
07-06-2024,2067.9424
08-06-2024,2056.1187
09-06-2024,2066.3577
10-06-2024,2068.2996
11-06-2024,2106.8545
12-06-2024,2123.9644
13-06-2024,2156.8843
14-06-2024,2178.202
15-06-2024,2218.144
16-06-2024,2281.3245
17-06-2024,2336.9365
18-06-2024,2429.4924
19-06-2024,2500.597
20-06-2024,2587.236
21-06-2024,2661.799
22-06-2024,2754.3901
23-06-2024,2869.5723
24-06-2024,2976.5579
25-06-2024,3119.941
26-06-2024,3241.462
27-06-2024,3378.2832
28-06-2024,3502.999
29-06-2024,3645.93
30-06-2024,3811.8516
01-07-2024,3970.167
02-07-2024,4165.622
03-07-2024,4340.052
04-07-2024,4530.64
05-07-2024,4709.9175
06-07-2024,4908.04
07-07-2024,5129.5117
08-07-2024,5343.3447
09-07-2024,5593.777
10-07-2024,5822.016
11-07-2024,6064.5044
12-07-2024,6292.922
13-07-2024,6536.48
14-07-2024,6798.6562
15-07-2024,7047.379
16-07-2024,7325.7593
17-07-2024,7573.8643
18-07-2024,7827.009
19-07-2024,8055.782
20-07-2024,8288.375
21-07-2024,8527.344
22-07-2024,8739.814
23-07-2024,8968.256
24-07-2024,9152.262
25-07-2024,9326.877
26-07-2024,9462.636
27-07-2024,9587.906
28-07-2024,9705.659
29-07-2024,9783.685
30-07-2024,9865.355
31-07-2024,9891.418
01-08-2024,9898.287
02-08-2024,9858.087
03-08-2024,9800.966
04-08-2024,9731.837
05-08-2024,9620.572
06-08-2024,9512.726
07-08-2024,9351.287
08-08-2024,9174.946
09-08-2024,8958.085
10-08-2024,8733.052
11-08-2024,8506.87
12-08-2024,8251.384
13-08-2024,8013.9443
14-08-2024,7739.1367
15-08-2024,7467.008
16-08-2024,7173.0312
17-08-2024,6890.3633
18-08-2024,6626.5327
19-08-2024,6353.576
20-08-2024,6118.727
21-08-2024,5866.132
22-08-2024,5635.095
23-08-2024,5400.0557
24-08-2024,5192.8613
25-08-2024,5019.4834
26-08-2024,4850.183
27-08-2024,4730.23
28-08-2024,4601.6616
29-08-2024,4501.5596
30-08-2024,4402.073
31-08-2024,4332.7354
01-09-2024,4297.2144
02-09-2024,4263.528
03-09-2024,4274.799
04-09-2024,4271.0474
05-09-2024,4287.509
06-09-2024,4294.6826
07-09-2024,4320.673
08-09-2024,4367.967
09-09-2024,4403.6562
10-09-2024,4470.211
11-09-2024,4507.2744
12-09-2024,4549.977
13-09-2024,4568.982
14-09-2024,4592.8164
15-09-2024,4624.632
16-09-2024,4632.4077
17-09-2024,4659.6973
18-09-2024,4647.4014
19-09-2024,4632.0474
20-09-2024,4585.809
21-09-2024,4538.801
22-09-2024,4495.8066
23-09-2024,4426.4517
24-09-2024,4375.9155
25-09-2024,4286.674
26-09-2024,4196.7554
27-09-2024,4079.7275
28-09-2024,3966.9736
29-09-2024,3864.4001
30-09-2024,3742.594
01-10-2024,3647.5215
02-10-2024,3522.2642
03-10-2024,3405.2695
04-10-2024,3270.3374
05-10-2024,3148.8994
06-10-2024,3046.7332
07-10-2024,2934.1292
08-10-2024,2856.6025
09-10-2024,2756.6443
10-10-2024,2671.9858
11-10-2024,2575.609
12-10-2024,2498.0408
13-10-2024,2444.0906
14-10-2024,2383.0374
15-10-2024,2359.3608
16-10-2024,2314.5144
17-10-2024,2285.2097
18-10-2024,2243.4417
19-10-2024,2218.803
20-10-2024,2215.2366
21-10-2024,2201.2334
22-10-2024,2220.5784
23-10-2024,2214.1296
24-10-2024,2218.1125
25-10-2024,2204.1487
26-10-2024,2201.5745
27-10-2024,2214.1926
28-10-2024,2210.4712
29-10-2024,2234.2854
30-10-2024,2226.6938
31-10-2024,2224.2249
01-11-2024,2198.8997
02-11-2024,2180.542
03-11-2024,2173.519
04-11-2024,2146.9326
05-11-2024,2145.3472
06-11-2024,2110.556
07-11-2024,2079.8538
08-11-2024,2026.0509
09-11-2024,1979.7661
10-11-2024,1946.1599
11-11-2024,1895.1089
12-11-2024,1871.9266
13-11-2024,1819.114
14-11-2024,1774.6252
15-11-2024,1711.8682
16-11-2024,1661.991
17-11-2024,1630.6049
18-11-2024,1587.9519
19-11-2024,1579.6195
20-11-2024,1548.2859
21-11-2024,1531.9822
22-11-2024,1504.0903
23-11-2024,1495.6289
24-11-2024,1511.9761
25-11-2024,1523.0406
26-11-2024,1573.9788
27-11-2024,1606.9459
28-11-2024,1659.3647
29-11-2024,1703.9314
30-11-2024,1770.9119
01-12-2024,1864.8748
02-12-2024,1954.8746
03-12-2024,2085.182
04-12-2024,2197.0476
05-12-2024,2326.9873
06-12-2024,2446.8003
07-12-2024,2585.8813
08-12-2024,2747.9668
09-12-2024,2901.3337
10-12-2024,3089.5408
11-12-2024,3253.2063
12-12-2024,3428.3022
13-12-2024,3586.1821
14-12-2024,3755.901
15-12-2024,3940.9666
16-12-2024,4109.5405
17-12-2024,4305.1816
18-12-2024,4468.6226
19-12-2024,4636.058
20-12-2024,4779.1704
21-12-2024,4927.4375
22-12-2024,5084.8774
23-12-2024,5220.2363
24-12-2024,5377.7173
25-12-2024,5498.743
