Date,weekly runoff
01-01-2024,10.960209
02-01-2024,11.152924
03-01-2024,11.333883
04-01-2024,11.507111
05-01-2024,11.669309
06-01-2024,11.821697
07-01-2024,11.965702
08-01-2024,12.083474
09-01-2024,12.203084
10-01-2024,12.312513
11-01-2024,12.415619
12-01-2024,12.508816
13-01-2024,12.59293
14-01-2024,12.668894
15-01-2024,12.718298
16-01-2024,12.768597
17-01-2024,12.807127
18-01-2024,12.837098
19-01-2024,12.854299
20-01-2024,12.858974
21-01-2024,12.851553
22-01-2024,12.813207
23-01-2024,12.771098
24-01-2024,12.7124
25-01-2024,12.640308
26-01-2024,12.550764
27-01-2024,12.444328
28-01-2024,12.321922
29-01-2024,12.165379
30-01-2024,12.002684
31-01-2024,11.82199
01-02-2024,11.627615
02-02-2024,11.416731
03-02-2024,11.191235
04-02-2024,10.9534445
05-02-2024,10.686636
06-02-2024,10.420242
07-02-2024,10.143842
08-02-2024,9.863114
09-02-2024,9.576513
10-02-2024,9.287087
11-02-2024,8.998162
12-02-2024,8.693838
13-02-2024,8.404176
14-02-2024,8.11916
15-02-2024,7.844643
16-02-2024,7.579006
17-02-2024,7.3249817
18-02-2024,7.0853295
19-02-2024,6.8433495
20-02-2024,6.6280737
21-02-2024,6.428252
22-02-2024,6.2483187
23-02-2024,6.0850782
24-02-2024,5.9395604
25-02-2024,5.8127327
26-02-2024,5.6860456
27-02-2024,5.5866675
28-02-2024,5.5015025
29-02-2024,5.4332
01-03-2024,5.3768764
02-03-2024,5.3320017
03-03-2024,5.298146
04-03-2024,5.2555513
05-03-2024,5.2303896
06-03-2024,5.2087984
07-03-2024,5.192904
08-03-2024,5.177548
09-03-2024,5.162178
10-03-2024,5.1465855
11-03-2024,5.111471
12-03-2024,5.083684
13-03-2024,5.0502377
14-03-2024,5.014309
15-03-2024,4.971934
16-03-2024,4.9238667
17-03-2024,4.8712873
18-03-2024,4.796325
19-03-2024,4.727269
20-03-2024,4.6525455
21-03-2024,4.576684
22-03-2024,4.496981
23-03-2024,4.415336
24-03-2024,4.333927
25-03-2024,4.2357206
26-03-2024,4.1496634
27-03-2024,4.064651
28-03-2024,3.9854875
29-03-2024,3.9095535
30-03-2024,3.8386412
31-03-2024,3.7746456
01-04-2024,3.7000875
02-04-2024,3.6433234
03-04-2024,3.5925374
04-04-2024,3.551726
05-04-2024,3.517391
06-04-2024,3.4904046
07-04-2024,3.471729
08-04-2024,3.4429653
09-04-2024,3.4315917
10-04-2024,3.4249787
11-04-2024,3.4263964
12-04-2024,3.4317257
13-04-2024,3.441337
14-04-2024,3.455821
15-04-2024,3.4565442
16-04-2024,3.4708867
17-04-2024,3.4862568
18-04-2024,3.5060894
19-04-2024,3.526545
20-04-2024,3.548378
21-04-2024,3.5726426
22-04-2024,3.5812347
23-04-2024,3.6021025
24-04-2024,3.623241
25-04-2024,3.6486635
26-04-2024,3.6750827
27-04-2024,3.7037494
28-04-2024,3.736147
29-04-2024,3.7545078
30-04-2024,3.7870162
01-05-2024,3.8217852
02-05-2024,3.8628287
03-05-2024,3.9067326
04-05-2024,3.9545004
05-05-2024,4.0072503
06-05-2024,4.0467434
07-05-2024,4.1005974
08-05-2024,4.1562853
09-05-2024,4.217121
10-05-2024,4.2789598
11-05-2024,4.3420615
12-05-2024,4.4068174
13-05-2024,4.454299
14-05-2024,4.5115
15-05-2024,4.5653543
16-05-2024,4.618748
17-05-2024,4.6672306
18-05-2024,4.7109003
19-05-2024,4.750135
20-05-2024,4.766156
21-05-2024,4.786267
22-05-2024,4.79787
23-05-2024,4.8044744
24-05-2024,4.8023934
25-05-2024,4.7926188
26-05-2024,4.7765307
27-05-2024,4.736438
28-05-2024,4.700794
29-05-2024,4.658193
30-05-2024,4.6133385
31-05-2024,4.563724
01-06-2024,4.511474
02-06-2024,4.459029
03-06-2024,4.3896637
04-06-2024,4.332679
05-06-2024,4.277378
06-06-2024,4.2290273
07-06-2024,4.185519
08-06-2024,4.14921
09-06-2024,4.1226053
10-06-2024,4.0888796
11-06-2024,4.077075
12-06-2024,4.0760937
13-06-2024,4.0906663
14-06-2024,4.1180434
15-06-2024,4.1598487
16-06-2024,4.2177896
17-06-2024,4.2742014
18-06-2024,4.3572736
19-06-2024,4.455062
20-06-2024,4.5714865
21-06-2024,4.7030396
22-06-2024,4.85066
23-06-2024,5.015459
24-06-2024,5.1792746
25-06-2024,5.369906
26-06-2024,5.5751266
27-06-2024,5.7986827
28-06-2024,6.03699
29-06-2024,6.2909994
30-06-2024,6.561905
01-07-2024,6.8316793
02-07-2024,7.128285
03-07-2024,7.4396625
04-07-2024,7.7697
05-07-2024,8.1149025
06-07-2024,8.476233
07-07-2024,8.854788
08-07-2024,9.232313
09-07-2024,9.636393
10-07-2024,10.054418
11-07-2024,10.489543
12-07-2024,10.937353
13-07-2024,11.397697
14-07-2024,11.870373
15-07-2024,12.33565
16-07-2024,12.819481
17-07-2024,13.30749
18-07-2024,13.800963
19-07-2024,14.293553
20-07-2024,14.783143
21-07-2024,15.267589
22-07-2024,15.725284
23-07-2024,16.180414
24-07-2024,16.61701
25-07-2024,17.034975
26-07-2024,17.426838
27-07-2024,17.789669
28-07-2024,18.120855
29-07-2024,18.3987
30-07-2024,18.64771
31-07-2024,18.85266
01-08-2024,19.014633
02-08-2024,19.12779
03-08-2024,19.191257
04-08-2024,19.204899
05-08-2024,19.149885
06-08-2024,19.053946
07-08-2024,18.905394
08-08-2024,18.709112
09-08-2024,18.463255
10-08-2024,18.171085
11-08-2024,17.836668
12-08-2024,17.445372
13-08-2024,17.029043
14-08-2024,16.579954
15-08-2024,16.106722
16-08-2024,15.610935
17-08-2024,15.098931
18-08-2024,14.577421
19-08-2024,14.033944
20-08-2024,13.502001
21-08-2024,12.974962
22-08-2024,12.461969
23-08-2024,11.964538
24-08-2024,11.488344
25-08-2024,11.0388565
26-08-2024,10.601811
27-08-2024,10.208372
28-08-2024,9.849088
29-08-2024,9.5298395
30-08-2024,9.248511
31-08-2024,9.006834
01-09-2024,8.806094
02-09-2024,8.6276865
03-09-2024,8.498353
04-09-2024,8.404217
05-09-2024,8.346816
06-09-2024,8.319845
07-09-2024,8.321075
08-09-2024,8.348133
09-09-2024,8.379109
10-09-2024,8.437857
11-09-2024,8.508067
12-09-2024,8.58934
13-09-2024,8.673949
14-09-2024,8.758779
15-09-2024,8.841102
16-09-2024,8.899188
17-09-2024,8.957582
18-09-2024,9.001157
19-09-2024,9.031138
20-09-2024,9.041837
21-09-2024,9.032532
22-09-2024,9.003192
23-09-2024,8.935023
24-09-2024,8.855681
25-09-2024,8.753262
26-09-2024,8.632259
27-09-2024,8.490234
28-09-2024,8.329631
29-09-2024,8.153444
30-09-2024,7.9457088
01-10-2024,7.736664
02-10-2024,7.516703
03-10-2024,7.2922983
04-10-2024,7.062634
05-10-2024,6.831412
06-10-2024,6.6025014
07-10-2024,6.360428
08-10-2024,6.135543
09-10-2024,5.91798
10-10-2024,5.713603
11-10-2024,5.520663
12-10-2024,5.341633
13-10-2024,5.1788955
14-10-2024,5.015269
15-10-2024,4.8792195
16-10-2024,4.7588625
17-10-2024,4.657953
18-10-2024,4.572592
19-10-2024,4.503102
20-10-2024,4.449759
21-10-2024,4.3933573
22-10-2024,4.3604608
23-10-2024,4.3374352
24-10-2024,4.32647
25-10-2024,4.322306
26-10-2024,4.324135
